Pos,No,Driver,Constructor,Lap,Gap
1,2,Rubens Barrichello,Ferrari,1:08.082,-
2,5,Ralf Schumacher,Williams - BMW,1:08.364,+0.282
3,1,Michael Schumacher,Ferrari,1:08.704,+0.622
4,6,Juan Pablo Montoya,Williams - BMW,1:09.118,+1.036
5,7,Nick Heidfeld,Sauber - Petronas,1:09.129,+1.047
6,4,Kimi Räikkönen,McLaren - Mercedes,1:09.154,+1.072
7,8,Felipe Massa,Sauber - Petronas,1:09.228,+1.146
8,3,David Coulthard,McLaren - Mercedes,1:09.335,+1.253
9,12,Olivier Panis,BAR - Honda,1:09.561,+1.479
10,24,Mika Salo,Toyota,1:09.661,+1.579
11,20,Heinz-Harald Frentzen,Arrows - Cosworth,1:09.671,+1.589
12,21,Enrique Bernoldi,Arrows - Cosworth,1:09.723,+1.641
13,15,Jenson Button,Renault,1:09.780,+1.698
14,25,Allan McNish,Toyota,1:09.818,+1.736
15,9,Giancarlo Fisichella,Jordan - Honda,1:09.901,+1.819
16,14,Jarno Trulli,Renault,1:09.980,+1.898
17,11,Jacques Villeneuve,BAR - Honda,1:10.051,+1.969
18,10,Takuma Sato,Jordan - Honda,1:10.058,+1.976
19,17,Pedro de la Rosa,Jaguar - Cosworth,1:10.553,+2.471
20,16,Eddie Irvine,Jaguar - Cosworth,1:10.741,+2.659
