Club,Last Supporters ' Shield won,Length of drought
Colorado Rapids,never ( club entered MLS in 1996 ),24 seasons
New England Revolution,never ( club entered MLS in 1996 ),24 seasons
Sporting Kansas City,2000,19 seasons
Chicago Fire,2003,16 seasons
Real Salt Lake,never ( club entered MLS in 2005 ),15 seasons
Houston Dynamo,never ( club entered MLS in 2006 ),14 seasons
D.C. United,2007,12 seasons
Columbus Crew SC,2009,10 seasons
Philadelphia Union,never ( club entered MLS in 2010 ),10 seasons
Portland Timbers,never ( club entered MLS in 2011 ),9 seasons
Vancouver Whitecaps FC,never ( club entered MLS in 2011 ),9 seasons
Los Angeles Galaxy,2011,8 seasons
Montreal Impact,never ( club entered MLS in 2012 ),8 seasons
San Jose Earthquakes,2012,7 seasons
Seattle Sounders FC,2014,5 seasons
New York City FC,never ( club entered MLS in 2015 ),5 seasons
Orlando City SC,never ( club entered MLS in 2015 ),5 seasons
FC Dallas,2016,3 seasons
Atlanta United FC,never ( club entered MLS in 2017 ),3 seasons
Minnesota United FC,never ( club entered MLS in 2017 ),3 seasons
