Airport name,ICAO / TC LID / IATA,Location
Abbotsford ( Regional Hospital & Cancer Centre ) Heliport,CAB5,Abbotsford
Abbotsford ( Sumas Mountain ) Heliport,CSM7,Abbotsford
Abbotsford ( Teck ) Heliport,CTK8,Abbotsford
Langley ( Russell Farm ) Heliport,CRF2,Langley Township
New Westminster ( Royal Columbian Hospital ) Heliport,CNW9,New Westminster
Vancouver ( Children & Women 's Health Centre ) Heliport,CAK7,Vancouver
Vancouver/Coquitlam Fire and Rescue Heliport,CFR6,Vancouver
Vancouver/Delta ( North ) Heliport,CBD2,Delta
Vancouver/Delta ( SEI ) Heliport,CSE7,Delta
Vancouver ( General Hospital ) Heliport,CBK4,Vancouver
Vancouver ( Surrey Memorial Hospital ) Heliport,CVS3,Surrey
