Name,Club,Appointed
Hans Eklund,Falkenbergs FF,26 November 2014
Rikard Norling,AIK,13 May 2016
Jens Gustafsson,IFK Norrköping,1 June 2016
Axel Kjäll,Örebro SK,28 August 2017
Poya Asbaghi,IFK Göteborg,21 November 2017
Jimmy Thelin,IF Elfsborg,6 December 2017
Andreas Alm,BK Häcken,8 December 2017
Stefan Billborn,Hammarby IF,10 January 2018
Uwe Rösler,Malmö FF,12 June 2018
Ian Burchnall,Östersunds FK,20 June 2018
Kim Bergstrand Thomas Lagerlöf,Djurgårdens IF,16 November 2018
Magnus Pehrsson,Kalmar FF,27 November 2018
Mirza Jelečak Henrik Rydström,IK Sirius,10 December 2018
Tony Gustavsson,GIF Sundsvall,2 September 2019
Olof Mellberg,Helsingborgs IF,3 September 2019
Saulius Širmelis,AFC Eskilstuna,5 September 2019
