Name,Nation,Tenure
Lothar Osiander,Germany,1996-97
Octavio Zambrano,Ecuador,"June 10 , 1997 - April 23 , 1999"
Sigi Schmid,Germany,"April 22 , 1999 - August 16 , 2004 , July 27 , 2017 - September 10 , 2018"
Steve Sampson,United States,"August 18 , 2004 - June 6 , 2006"
Frank Yallop,Canada,"June 7 , 2006 - November 5 , 2007"
Ruud Gullit,Netherlands,"November 9 , 2007 - August 11 , 2008"
Cobi Jones ( interim ),United States,"August 11 , 2008 - August 18 , 2008"
Bruce Arena,United States,"August 18 , 2008 - November 22 , 2016"
Curt Onalfo,United States,"December 13 , 2016 - July 27 , 2017"
Dominic Kinnear ( interim ),United States,"September 10 , 2018 - December 28 , 2018"
Guillermo Barros Schelotto,Argentina,"January 2 , 2019 - present"
