Spoofed Title,Actual Title,Writer,Artist,Issue,Date
True Fat,True Grit ( June 1969 ) ( Genre : Western ),Larry Siegel,Mort Drucker,133,1954-04 March 1970
Midnight Wowboy,Midnight Cowboy ( May 1969 ) ( Genre : Comedy-drama ),Stan Hart,Mort Drucker,134,1954-04 April 1970
Sleazy Riders,Easy Rider ( July 1969 ) ( Genre : Road movie ),Larry Siegel,Mort Drucker,135,1954-04 June 1970
Botch Casually and the Somedunce Kid,Butch Cassidy and the Sundance Kid ( October 1969 ) ( Genre : Western ),Arnie Kogen,Mort Drucker,136,1954-04 July 1970
Boob and Carnal and Tad and Alas,Bob & Carol & Ted & Alice ( September 1969 ) ( Genre : Comedy-drama ),Stan Hart,Mort Drucker,137,1954-04 September 1970
Moroned,Marooned ( November 1969 ) ( Genre : Science fiction ),Dick DeBartolo,Mort Drucker,138,1954-04 October 1970
M*I*S*H M*O*S*H,M*A*S*H ( January 1970 ) ( Genre : Military comedy ),Arnie Kogen,Angelo Torres,138,1954-04 October 1970
Airplot,Airport ( March 1970 ) ( Genre : Disaster film ),Larry Siegel,Mort Drucker,139,1954-04 December 1970
A Fistful of Lasagna,A Fistful of Dollars ( September 1964 ) ( Genre : Spaghetti western ),Lou Silverstone,Jack Davis,Special # 4,1954-04 Fall 1971
PUT*ON,Patton ( April 1970 ) ( Genre : Biographical war ),Larry Siegel,Mort Drucker,140,1954-04 January 1971
Catch-All-22,Catch-22 ( June 1970 ) ( Genre : Military comedy ),Stan Hart,Mort Drucker,141,1954-04 March 1971
West Coast Story,West Side Story ( October 1961 ) ( Genre : Romantic musical ),Frank Jacobs,Jack Davis,142,1954-04 April 1971
On a Clear Day You Can See a Funny Girl Singing Hello Dolly Forever,On a Clear Day You Can See Forever ( June 1970 ) ( Genre : Romantic fantasy ),Frank Jacobs,Mort Drucker,143,1954-04 June 1971
Shmoe,Joe ( July 1970 ) ( Genre : Drama ),Larry Siegel,Mort Drucker,144,1954-04 July 1971
Five Easy Pages ... and Two Hard Ones,Five Easy Pieces ( September 1970 ) ( Genre : Drama ),Lou Silverstone,Mort Drucker,145,1954-04 September 1971
The Foul and the Prissy Cats,The Owl and the Pussycat ( November 1970 ) ( Genre : Romantic comedy ),Stan Hart,Angelo Torres,145,1954-04 September 1971
Lover 's Story,Love Story ( December 1970 ) ( Genre : Romantic drama ),Larry Siegel,Mort Drucker,146,1954-04 October 1971
Little Dull Man,Little Big Man ( December 1970 ) ( Genre : Revisionist western ),Arnie Kogen,Mort Drucker,147,1954-04 December 1971
The Trauma of '42,Summer of '42 ( April 1971 ) ( Genre : Comedy-drama ),Stan Hart,Mort Drucker,148,1954-04 January 1972
Willies,Willard ( June 1971 ) ( Genre : Horror ),Dick DeBartolo,Mort Drucker,149,1954-04 March 1972
