Year,Film,Cast,Language,Production,Notes
1984,My Dear Kuttichathan,"Master Aravind , Baby Sonia , Master Suresh , Kottarakkara Sridharan Nair",Malayalam,Navodaya Films,India 's first 3D film . Worked as Assistant Director & Script Supervisor
1989,Chanakyan,"Kamal Hassan , Urmila Matondkar , Jayaram , Sitara",Malayalam,Navodaya Films,Debut directorial venture . Kerala Film Critics Award & the Filmfare Award for the Best Director
1990,Kshanakkathu,"Niyas , Nedumudi Venu , Thilakan",Malayalam,M/S Central Pictures,
1991,Ottayal Pattalam,"Mukesh , Madhubala",Malayalam,M/S Century Films,
1992,Mahanagaram,Mammootty,Malayalam,Sunitha Productions,
1994,Pavithram,"Mohanlal , Vinduja Menon , Shobana",Malayalam,Vishudhi Films,Filmfare Award for Best Actor ( Mohanlal ) 1994
1996,Thacholi Varghese Chekavar,"Mohanlal , Urmila Matondkar , Nirosha",Malayalam,Seven Arts Films,
1999,Kannezhuthi Pottum Thottu,"Manju Warrier , Thilakan , Biju Menon , Abbas",Malayalam,One 2 One Creations,First Malayalam film to use Avid technology . National special jury Award ( 1999 ) for Best Actress to Manju Warrier.She ended her first phase of acting after this film
1999,Jalamarmaram,"V C Harris , P Balachandran , Aswin Thampi , Joby",Malayalam,The Blue Mermaid Picture Company,"National Award for Best Feature Film on Environment , Kerala State Award for Second Best Feature Film 2000"
2000,Raja Ko Rani Se Pyar Ho Gaya,"Arvind Swamy , Manisha Koirala",Hindi,,
2001,Vakkalathu Narayanankutty,"Jayaram , Jagathy Sreekumar , Mukesh , Manya",Malayalam,Cinema Cinema,
2002,Sesham,"Jayaram , Biju Menon , Murali , Geethu Mohandas",Malayalam,The Blue Mermaid Picture Company,"Kerala State Award 2002 for Best Feature Film , Editing , Sound Recording , Best Story and Special Jury Award for the actor in the lead role"
2004,Ivar,"Jayaram , Biju Menon , Bhavana",Malayalam,Damor Films,Fully shot using Steadycam
2008,Free Kick,"Sushand Singh , Asif Basra , Sathyajit , Gowri Karnik ,",Hindi,Jammu Sugahand Productions,Not Yet Released
2009,Chal Chala Chal,"Govinda , Reema Sen , Rajpal Yadav , Murli Sharma , Om Puri , Manoj Joshi",Hindi,Fuel picture company,Remake of Malayalam film Varavelpu and scenes from Ee Parakkum Thalika
2009,Seetha Kalyanam,"Jayaram , Jyothika , Indrajith , Geethu Mohandas",Malayalam,Revathy Kalamandir,
2009,Kushti,"Rajpal Yadav , Great Khali , Om Puri , sarat Saxena , Manoj Joshi",Hindi,SRK entertainments,Remake of Malayalam film Mutharamkunnu P.O
2010,Oru Naal Varum,"Mohanlal , Sreenivasan",Malayalam,Maniyanpilla Raju Productions,
2011,Rathinirvedam,"Shweta Menon , KPAC Lalitha",Malayalam,Revathy Kalaamandhir Production,Remake of the 1978 film of the same name
2011,Thalsamayam Oru Penkutty,"Nithya Menon , Shweta Menon , Unni Mukundan",Malayalam,Reel 2 Reel Cine Productions,
