District,Senator,Took office
1,"Pickett , Edward Bradford",1870
2,"Clark , Amos",1870
3,"Priest , Mijamin",1870
4,"Pettit , E",1870
5,"Flanagan , David Webster",1870
6,"Douglas , James Postell",1870
7,"Rawson , Henry",1870
8,"Campbell , Donald",1870
9,"Latimer , Henry Russell",1870
10,"Cole , David W",1870
11,"Dohoney , Ebenezer Lafayette",1870
12,"Ruby , George Thompson",1870
13,"Bell , John G",1870
14,"Parsons , William Henry",1870
15,"Mills , John S",1870
16,"Gaines , Matthew",1870
17,"Saylor , William A",1870
18,"Hall , Phidello W",1870
19,"Evans , Andrew J",1870
20,"Pyle , William H",1870
