Type ( criteria ),Site,Location,Period,Description
Natural : ( vii ) ( ix ) ( x ),Apo Reef Natural Park,Sulu Sea,Pleistocene Epoch,"The site is the second biggest producer of juvenile marine fishes in the world , next only to the Tubbataha Reefs Natural Park"
Cultural : ( i ) ( iii ) ( iv ) ( v ) ( vi ),Baroque Churches of the Philippines ( Extension ) Loboc Church of Bohol Boljoon Church of Cebu Guiuan Church of Eastern Samar Tumauini Church of Isabela Lazi Church of Siquijor,Various Locations,18th to 19th centuries,All five baroque churches have been declared as National Cultural Treasures of the Philippines
Mixed,Batanes Protected landscapes and seascapes,Batanes,Pleistocene Epoch and 100 AD,The Mahatao Church of Batanes is a declared National Cultural Treasure of the Philippines
Cultural : ( iii ) ( iv ) ( v ),Butuan Archeological Sites,Agusan del Norte,10th century,"The site exemplified and concretized the capability of the pre-Hispanic Rajahnate of Butuan as a nation with great expertise in boat-making , seafaring , and gold manufacturing"
Natural : ( vii ) ( viii ),Chocolate Hills Natural Monument,Bohol,Pleistocene Epoch,The site is the focal property of the proposed Bohol Global Geopark Reserve
Mixed : ( iii ) ( ix ) ( x ),Coron Island Natural Biotic Area,Palawan,Pleistocene Epoch,The site is within the Palawan UNESCO Biosphere Reserve
Natural : ( ix ) ( x ),El Nido - Taytay Managed Resource Protected Area,Palawan,Pleistocene Epoch,The site is within the Palawan UNESCO Biosphere Reserve
Cultural : ( i ) ( ii ) ( iii ) ( iv ) ( v ) ( vi ),Kabayan Mummy Burial Caves,Benguet,100 AD,The site has been listed by the World Monuments Fund for immediate international conservation . It is a declared National Cultural Treasure of the Philippines
Natural : ( vii ) ( x ),Mayon Volcano Natural Park ( MMVNP ),Albay,Pleistocene Epoch,The site is the central property of the Albay UNESCO Biosphere Reserve
Natural : ( ix ) ( x ),Mounts Iglit-Baco National Park,Mindoro,Pleistocene Epoch,The site is a declared ASEAN Heritage Park
Natural : ( vii ) ( ix ) ( x ),Mount Malindang Range Natural Park,Misamis Occidental,Pleistocene Epoch,The site is a declared ASEAN Heritage Park
Natural : ( ix ) ( x ),Mount Mantalingajan Protected Landscape,Palawan,Pleistocene Epoch,The site is part of the Palawan UNESCO Biosphere Reserve
Natural : ( ix ) ( x ),Mount Pulag National Park,"Ifugao , Nueva Viscaya , and Benguet",Pleistocene Epoch,The site is the third highest point in the Philippines
Cultural : ( ii ) ( iii ) ( iv ) ( v ),Neolithic Shell Midden Sites in Lal-lo and Gattaran Municipalities,Cagayan,Neolithic Period,The site is the largest shell midden zone in the Philippine archipelago
Natural : ( ix ) ( x ),Northern Sierra Madre Natural Park and outlying areas inclusive of the buffer zone,Isabela,Pleistocene Epoch,The site is the largest national park in the Philippines
Cultural : ( ii ) ( iii ) ( iv ) ( v ),Paleolithic Archaeological Sites in Cagayan Valley Awidon Mesa Formation Paleolithic Sites of Solana in Cagayan Province Callao Limestone Formation Paleolithic Sites of Peñablanca in Cagayan Province,Cagayan Valley,Paleolithic Period,"The site includes the location where the bone fragments of Callao Man , the oldest hominid found in the Philippines , was found . The site is also where Homo luzonensis , a new human species , was found . Callao Man has since been reclassified as part of Homo luzonensis"
Cultural : ( iii ),Petroglyphs and Petrographs of the Philippines Angono Petroglyphs of Rizal Alab Petroglyphs of Mountain Province Penablanca Petrographs of Cagayan Province Singnapan Caves Petrographs of southern Palawan Anda Peninsula Petrographs of Eastern Bohol,Multiple locations,Paleolithic Period,"The sites in Singnapan , Alab , and Angono have been declared as National Cultural Treasures of the Philippines . The site in Angono has been listed by World Monuments Fund"
Cultural : ( ii ) ( iii ) ( iv ) ( v ),The Tabon Cave Complex and all of Lipuun,Palawan,Paleolithic Period,The site is a declared National Cultural Treasure of the Philippines due to the Tabon Man discovery in the area . It was listed by the World Monuments Fund
Natural : ( ix ) ( x ),Turtle Islands Wildlife Sanctuary,Tawi-Tawi,Pleistocene Epoch,The site is a major green sea turtle breeding and hatchery zone in the Asia-Pacific
