Species,Family,Habitat,Trophic level,Status
Acantharchus pomotis,Centrarchidae,demersal,3.0,native
Ameiurus catus,Ictaluridae,demersal,3.8,native
Ameiurus natalis,Ictaluridae,demersal,3.3,native
Ameiurus platycephalus,Ictaluridae,demersal,3.4,native
Amia calva,Amiidae,demersal,3.8,native
Anguilla rostrata,Anguillidae,demersal,3.7,native
Aphredoderus sayanus,Aphredoderidae,demersal,3.4,native
Centrarchus macropterus,Centrarchidae,demersal,3.7,native
Cyprinus carpio carpio,Cyprinidae,benthopelagic,3.0,native
Dorosoma cepedianum,Clupeidae,pelagic,2.0,native
Elassoma zonatum,Elassomatidae,demersal,3.0,native
Enneacanthus gloriosus,Centrarchidae,demersal,3.0,native
Enneacanthus obesus,Centrarchidae,demersal,3.0,native
Erimyzon oblongus,Catostomidae,demersal,2.8,native
Erimyzon sucetta,Catostomidae,demersal,2.8,native
Esox americanus americanus,Esocidae,demersal,3.4,native
Esox niger,Esocidae,demersal,4.0,native
Etheostoma fusiforme,Percidae,benthopelagic,3.2,native
Etheostoma perlongum,Percidae,benthopelagic,3.4,endemic
Fundulus waccamensis,Fundulidae,benthopelagic,3.0,endemic
