Year,Film,Role,Cast,Direction
1980,Lava,Seetha,"Prem Nazir , K. P. Ummer",Hariharan
1981,Valarthu Mrugangal,Janu,"Sukumaran , Ratheesh",Hariharan
1981,Garjanam,Geetha,Rajinikanth,C. V. Rajendran
1981,Poochasanyasi,Sandhya,,
1982,Anuraagakkodathi,Anuradha,Shankar Panicker,Hariharan
1982,Ormakkayi,Susanna,"Adoor Bhasi , Bharath Gopi , Nedumudi Venu",Bharathan
1982,Kurukkante Kalyanam,Saritha,"Sukumaran , Jagathy , Mohanlal , Bahadoor",Sathyan Anthikkad
1982,John Jaffer Janardhanan,Nancy,"Mammootty , Ratheesh , Ravindran",I. V. Sasi
1982,Novemberinte Nashtam,Meera,Prathap Pothan,Padmarajan
1982,Sindoora Sandhyakku Mounam,Siji,Mohanlal,
1983,Prem Nazirine Kanmanilla,Herself,"Prem Nazir , Sreenivasan , Maniyanpilla Raju , Vijay Menon",Lenin Rajendran
1983,Hello Madras Girl,Saritha,"Shankar , Poornima Jayaram , Mohanlal , Kuthiravattam Pappu , Urvashi",J. Williams
1983,Changatham,Annie,"Mohanlal , Mammootty , Jagathy , Paravoor Bharathan , Captain Raju , Sankaradi , Prathapachandran",Bhadran
1984,Akkare,Padmavathi,,
1984,Vikadakavi,Santhi,,
1984,Mangalam Nerunnu,Rajani,,
1984,Kurishuyudham,"Susy , Daisy",,
1985,Oru Kudakeezhil,Vijayalakshmi,"Nedumudi Venu , Lalu Alex",Joshiy
1985,Adhyayam Onnu Muthal,Seetha,"Mohanlal , Venu Nagavalli",Sathyan Anthikkad
