Title ( s ),Multiplayer,Year ( s ) released,Developer ( s ),Publisher ( s ),Region ( s ) released
007 : Everything or Nothing • James Bond 007 : Everything or Nothing,Yes,"November,17,2003 2004",Griptonite Games,EA Games / Electronic Arts,"NA , PAL , JP"
007 : Nightfire,Yes ( VS ),2003,JV Games Inc,Electronic Arts,"NA , PAL"
2-in-1 : Tony Hawk 's Underground / Kelly Slater 's Pro Surfer,N/A,2006,Neversoft Entertainment,Activision,"NA , PAL"
2-in-1 : V-Rally 3 / Stuntman,N/A,,,Atari,PAL
3-in-1 Sports Pack : Paintball Splat ! / Dodgeball Dodge This ! / Big Alley Bowling • Majesco 's Sport Pack,N/A,2005 2006,Skyworks Technologies,Majesco Entertainment,"NA , PAL"
3 Games in 1 : Tak and the Power of Juju / SpongeBob SquarePants : SuperSponge / Rugrats : I Got ta Go Party,N/A,2005,,THQ,PAL
4 Games on One Game Pak : GT Advance / GT Advance 2 / GT Advance 3 / MotoGP,N/A,2007,MTO / Visual Impact / THQ,THQ,NA
A Sound of Thunder,"Yes ( COOP , SPM )",2004 2005,Möbius Entertainment,"BAM ! Entertainment , Inc. / Franchise Interactive","NA , PAL"
Ace Combat Advance,No,2005 2006,HumanSoft,Namco,"NA , PAL"
Ace Lightning,No,2002,Tiertex Design Studios,BBC Multimedia,PAL
Action Man : Robot Atak,No,2004,Magic Pockets,Atari,PAL
Activision Anthology,Yes ( SPM ),2003,Aspyr,Aspyr,NA
Advance Guardian Heroes,Yes ( COOP ),2004,Treasure Co. Ltd,Ubisoft,"NA , PAL , JP"
Advance Wars,Yes ( SPM ),2001,Intelligent Systems,Nintendo,"NA , PAL"
Advance Wars 2 : Black Hole Rising,Yes ( SPM ),2003,Intelligent Systems,Nintendo,"NA , PAL"
Adventure of Tokyo Disney Sea,N/A,2001,,Konami,JP
The Adventures of Jimmy Neutron vs. Jimmy Negatron,Yes ( SPM ),2002,HumanSoft,THQ,"NA , PAL"
The Adventures of Jimmy Neutron Boy Genius : Attack of the Twonkies,Yes,2004,Tantalus,THQ,"NA , PAL"
The Adventures of Jimmy Neutron Boy Genius : Jet Fusion,No,2003,Helixe,THQ,"NA , PAL"
Aero the Acro-Bat • Acrobat Kid,No,2002,Atomic Planet Entertainment,Metro3D,"NA , PAL , JP"
