Name,Service,Rank,Place of action,Date of action
Joseph J. Sadowski †,Army,Sergeant,"Valhey , France","September 14 , 1944"
George T. Sakato,Army,Private,"Hill 617 , near Biffontaine , France","October 29 , 1944"
Benjamin L. Salomon †,Army,Captain,"Saipan , Marianas Islands","July 7 , 1944"
Joseph R. Sarnoski †,Air Forces,Second Lieutenant,"over Buka area , Solomon Islands","June 16 , 1943"
Foster J. Sayers †,Army,Private First Class,"near Thionville , France","November 12 , 1944"
Joseph E. Schaefer,Army,Staff Sergeant,"near Stolberg , Germany","September 24 , 1944"
Henry Schauer,Army,Private First Class,"near Cisterna di Littoria , Italy","May 23 , 1944 - May 24 , 1944"
Herbert E. Schonland,Navy,Commander,Savo Island,"November 12 , 1942 - November 13 , 1942"
Albert E. Schwab †,Marine Corps,Private First Class,"Okinawa Shima , Ryukyu Islands","May 7 , 1945"
Donald K. Schwab †,Army,First Lieutenant,"Near Lure , Haute-Saône , France","September 17 , 1944"
Norman Scott †,Navy,Rear Admiral,off Savo Island,"October 11 , 1942 - October 12 , 1942 and November 12 , 1942 - November 13 , 1942"
Robert R. Scott †,Navy,Machinist 's Mate First class,"Pearl Harbor , Hawaii","December 7 , 1941"
Robert S. Scott,Army,First Lieutenant,"near Munda Air Strip , New Georgia , Solomon Islands","July 29 , 1943"
Charles W. Shea,Army,Second Lieutenant,"near Mount Damiano , Italy","May 12 , 1944"
Carl V. Sheridan †,Army,Private First Class,"Frenzenberg Castle , Weisweiler , Germany","November 26 , 1944"
William R. Shockley †,Army,Private First Class,"Villa Verde Trail , Luzon , Philippines","March 31 , 1945"
William A. Shomo,Air Forces,Major,"over Luzon , Philippines","January 11 , 1945"
Curtis F. Shoup †,Army,Staff Sergeant,"near Tillet , Belgium","January 7 , 1945"
David M. Shoup,Marine Corps,Colonel,"Betio Island , Tarawa Atoll , Gilbert Islands","November 20 , 1943 - November 22 , 1943"
Franklin E. Sigler,Marine Corps,Private,"Iwo Jima , Volcano Islands","March 14 , 1945"
