Rank,Country,Team,Points
1,England,Tim Johnston Dick Taylor Ron Hill Mike Tagg Mike Turner John Hillen,70
2,New Zealand,Bryan Rose Peter Welsh Eddie Gray Mike Ryan Jeff Julian Norris Wyatt,96
3,France,Guy Texereau Noel Tijou François Lacour Michel Bernard Bernard Maroquin Gérard Goutailler,122
4,South Africa,Willie Olivier Gerhard Dekkers Dennis Morrison Desmond Torr Geoff Bacon Cornelius van Antwerp,151
5,Scotland,Lachie Stewart Jim Alder Jim Wright Andy Brown Patrick McLagan Alec Brown,227
6,Belgium,Gaston Roelants Robert Folie Gaston Heleven Pierre De Pauw André Dehertoghe Albien Van Holsbeek,245
7,Spain,José Maiz Carlos Pérez Francisco Aritmendi Javier Álvarez Manuel Alonso Iluminado Corcuera,256
8,Ireland,Derek Graham Tom O'Riordan Jim McNamara Harry Simpson Pete Fagan George Blackburn,304
9,Switzerland,Werner Dössegger Walter Dietiker Hansruedi Knill Alfons Sidler Peter Kneubühl Hans Rüdisühli,340
10,Wales,John Godding Cyril Leigh Brian Jeffs Alan Joslyn Roy Mack Hedydd Davies,361
11,Netherlands,Arie Meeuwissen Piet Beelen Aad Steylen Jan Zijderlaan Jo van den Hoogen Jacques van Eekelen,367
