Station,Line,Opened,Closed,Reopened
Roosevelt,Green Line Orange Line,"June 6 , 1892","July 31 , 1949","November 1 , 1993"
Grand,Blue Line,"February 25 , 1951","February 9 , 1992","June 25 , 1999"
Paulina,Brown Line,"May 18 , 1907","September 2 , 1973","October 17 , 1973"
Ashland,Green Line Pink Line,"November 6 , 1893","April 4 , 1948","February 25 , 1951"
California,Green Line,"November 6 , 1893","February 9 , 1992","July 13 , 1996"
Dempster-Skokie,Yellow Line,"March 28 , 1925","March 27 , 1948","April 20 , 1964"
Sedgwick,Brown Line Purple Line,"May 31 , 1900","January 13 , 1973","April 23 , 1973"
Oakton-Skokie,Yellow Line,"March 28 , 1925","March 27 , 1948","April 30 , 2012"
Morgan,Green Line Pink Line,"November 6 , 1893","April 4 , 1948","May 18 , 2012"
Harold Washington Library-State/Van Buren,Brown Line Orange Line Pink Line Purple Line,"October 3 , 1897","September 2 , 1973","June 22 , 1997"
Cermak-McCormick Place,Green Line,"June 6 , 1892","September 9 , 1977","February 8 , 2015"
