Title,Release Date,Credited As,Published By,Platform
Déjà Vu : A Nightmare Comes True,"198507 19850710 July 10 , 1985 ( NA )",ICOM Simulations,Mindscape,"Macintosh , Commodore 64"
Uninvited,"198603 19860301 March 1 , 1986 ( NA )",ICOM Simulations,Mindscape,Macintosh
Shadowgate,"198707 19870730 July 30 , 1987 ( NA )",ICOM Simulations,Mindscape,Macintosh
Déjà Vu II : Lost in Las Vegas,1988,ICOM Simulations,Mindscape,Macintosh
"Addams Family , The",1991,ICOM Simulations,NEC Technologies,TurboGrafx-CD
Yo ' Bro,1991,ICOM Simulations,NEC Technologies,TurboGrafx-16
Sherlock Holmes : Consulting Detective,1991,ICOM Simulations,ICOM Simulations,PC
Sherlock Holmes : Consulting Detective Vol . II,1992,ICOM Simulations,ICOM Simulations,PC
Road Runner 's Death Valley Rally,1992,ICOM Simulations,Sunsoft,SNES
Ghost Manor,1992,ICOM Simulations,Turbo Technologies Inc,TurboGrafx-16
Shape Shifter,"199210 19921001 October 1 , 1992 ( NA )",ICOM Simulations,Turbo Technologies Inc,TurboGrafx-CD
Sherlock Holmes : Consulting Detective Vol . III,1993,ICOM Simulations,ICOM Simulations,PC
Beyond Shadowgate,1993,ICOM Simulations,Turbo Technologies Inc,TurboGrafx-CD
Camp California,1993,ICOM Simulations,Turbo Technologies Inc,TurboGrafx-CD
Daffy Duck : The Marvin Missions,1993,ICOM Simulations,Sunsoft,SNES
Dracula Unleashed,"199310 19931024 October 24 , 1993 ( NA )",ICOM Simulations,Viacom New Media,PC
Bugs Bunny Rabbit Rampage,1994,Viacom New Media,Sunsoft,SNES
Nickelodeon GUTS,1994,Viacom New Media,Viacom New Media,SNES
MTV : Club Dead,1994,Viacom New Media,Viacom New Media,"Macintosh , PC"
Rocko 's Modern Life : Spunky 's Dangerous Day,1994,Viacom New Media,Viacom New Media,SNES
