Name,Affiliation,State,Service,Notes
"John Armstrong , Jr",Att,Pennsylvania,1787-88,"USSen from New York , 1800-02 , 1803-04 . Minister to France , 1804-10 . Minister to Spain , 1806 . Secretary of War , 1813-14"
John Beatty,"B 1769 , T 1787-1802",New Jersey,1784-85,"USRep , 1793-95"
Gunning Bedford,B 1771,Delaware,1783-85,
Elias Boudinot,T 1772-1821,New Jersey,"1778 , 1781-83","President of the Continental Congress , 1782-83 . Director of the U.S. Mint , 1795-1805"
William Burnet,B 1749,New Jersey,1780-81,
Jonathan Dayton,B 1776,New Jersey,1787-88,"USRep , 1791-99 ; Speaker , 1795-99 . USSen , 1799-1805"
Pierpont Edwards,B 1768,Connecticut,1788,
Oliver Ellsworth,B 1766,Connecticut,1778-83,"USSen , 1789-96 . Chief Justice of the United States , 1796-1800 . Minister to France , 1799-1800"
Jonathan Elmer,T 1782-95,New Jersey,"1777-78 , 1781-83 , 1787-88","USSen , 1789-91"
Frederick Frelinghuysen,B 1770,New Jersey,1779,"USSen , 1793-96"
John Habersham,Att,Georgia,1785,
Joseph Habersham,Att,Georgia,1785,"U.S. Postmaster General , 1795-1801"
Benjamin Hawkins,Att,North Carolina,"1781-83 , 1787","USSen , 1789-91 , 1791-95"
John Henry,B 1769,Maryland,"1778-80 , 1785-86","USSen , 1789-97 . Gov , 1797-98"
Joseph Hewes *,Att,North Carolina,1774-76,
William Houston,"B 1768 , F 1769-83",New Jersey,"1775-76 , 1779-81 , 1784-85",
David Howell,B 1766,Rhode Island,1782-85,
Richard Hutson,B 1765,South Carolina,1778-79,
Henry Lighthorse Harry Lee III,"B 1773 , AM 1776",Virginia,1786-88,"Gov , 1792-95 . Revolutionary War cavalry officer"
Samuel Livermore,B 1752,New Hampshire,"1780-82 , 1785-86","USSen , 1793-1801 ; President pro tempore , 1796 , 1799"
