Caliber ( mm ),Weapon name,Country of origin,Design
64,RML 2.5 inch Mountain Gun,United Kingdom,1879
73,2.9 inch Parrott rifle,United States,1860
76,3-inch ordnance rifle,United States,1862
76,RML 7 pounder Mountain Gun,United Kingdom,1873
86,Canon de campagne de 4 rayé,France,1858
96,Wiard rifle,United States,1861
121,Canon de 12 La Hitte,France,1859
140,70-pounder Whitworth naval gun,United Kingdom,1860s
160,RML 64 pounder 64 cwt gun,United Kingdom,1865
160,RML 64 pounder 71 cwt gun,United Kingdom,1870
160,RML 6.3 inch Howitzer,United Kingdom,1878
178,RML 7 inch gun,United Kingdom,1860s-1890s
191,Widow Blakely,Confederate States of America,1861
203,RML 8 inch gun,United Kingdom,1866
206,68-pounder Lancaster gun,United Kingdom,1850s
227,RML 9 inch 12 ton gun,United Kingdom,1865
233,Somerset cannon,United Kingdom,1863
254,RML 10 inch 18 ton gun,United Kingdom,1868
279,RML 11 inch 25 ton gun,United Kingdom,1867
305,RML 12 inch 25 ton gun,United Kingdom,1866
