Year,Songwriter ( s ),Work,Performing artist ( s ),Nominees
2000,Roberto Blades Angie Chirino Marc Anthony Cory Rooney,Dímelo,Marc Anthony,Juan Luis Guerra - El Niágara en Bicicleta ( Guerra ) Juan Carlos Calderón - O Tú o Ninguna ( Luis Miguel ) Fito Páez - Al Lado del Camino ( Páez ) Martín Madera - Fruta Fresca ( Carlos Vives )
2001,Alejandro Sanz,El Alma al Aire *,Alejandro Sanz,Francisco Céspedes - Dónde Está la Vida ( Céspedes ) Alejandro Lerner - Amarte Así ( Lerner ) Juanes - Fíjate Bien ( Juanes ) Estéfano - Y Yo Sigo Aquí ( Paulina Rubio )
2002,Alejandro Sanz,Y Sólo Se Me Ocurre Amarte *,Alejandro Sanz,"Miguel Bosé , Lanfranco Ferrario , Massimo Grilli - Morenamia ( Bosé ) Sergio George , Fernando Osorio - La Negra Tiene Tumbao ( Celia Cruz ) Juanes - A Dios le Pido ( Juanes ) Andrés Castro , Martín Madera , Carlos Vives - Déjame Entrar ( Vives )"
2003,Juanes,Es Por Ti *,Juanes,Jorge Villamizar - Caraluna ( Bacilos ) Jorge Villamizar and Sergio George - Mi Primer Millón ( Bacilos ) Natalia Lafourcade - En el 2000 ( Lafourcade ) Franco De Vita - Tal Vez ( Ricky Martin )
2004,Alejandro Sanz,No Es Lo Mismo *,Alejandro Sanz,"Emmanuel del Real - Eres ( Café Tacvba ) Kevin Johansen - La Procesión ( Johansen ) Robi Draco Rosa , Luis Gómez Escolar , Itaal Shur - Más y Más ( Rosa ) Julieta Venegas and Coti Sorokin - Andar Conmigo ( Venegas )"
2005,Alejandro Sanz,Tu No Tienes Alma *,Alejandro Sanz,"Bebe - Malo ( Bebe ) Elsten Torres , Obie Bermúdez - Todo el Año ( Bermúdez ) Jorge Drexler - Al Otro Lado del Río ( Drexler ) Aleks Syntek - Duele el Amor ( Syntek featuring Ana Torroja )"
2006,Shakira Luis F. Ochoa,La Tortura *,Shakira featuring Alejandro Sanz,Ricardo Arjona - Acompáñame a Estar Solo ( Arjona ) Amaury Gutiérrez - Nada Es Para Siempre ( Luis Fonsi ) Lena - Tu Corazón ( Lena ) Ricardo Montaner and Pablo Manavello - Cuando a Mi Lado Estás ( Montaner )
2007,Juan Luis Guerra,La Llave de Mi Corazón *,Juan Luis Guerra,"Belinda , Nacho Peregrín and Kara DioGuardi - Bella Traición ( Belinda ) Mario Domm - Todo Cambió ( Camila ) Franco De Vita - Tengo ( De Vita ) Fher Olvera - Labios Compartidos ( Maná )"
2008,Juanes,Me Enamora *,Juanes,Café Tacvba - Esta Vez ( Café Tacvba ) Kany García - Hoy Ya Me Voy ( García ) Julieta Venegas - El Presente ( Venegas ) Gian Marco Zignago - Todavía ( Gian Marco )
2009,Claudia Brant Luis Fonsi Gen Reuben,Aquí Estoy Yo,"Luis Fonsi featuring David Bisbal , Noel Schajris and Aleks Syntek",Bebe and Carlos Jean - Me Fuí ( Bebe ) Yoel Henríquez and Jorge Luis Piloto - Día Tras Día ( Andrés Cepeda ) Alejandro Lerner - Verte Sonreir ( Lerner ) Jorge Luis Piloto and Jorge Villamizar - Yo No Sé Mañana ( Luis Enrique )
2010,Mario Domm Mónica Vélez,Mientes *,Camila,Rubén Blades - Las Calles ( Blades ) Jorge Drexler - Una Canción Me Trajo Hasta Aquí ( Drexler ) Enrique Iglesias and Descemer Bueno - Cuando Me Enamoro ( Iglesias featuring Juan Luis Guerra ) Alejandro Sanz and Tommy Torres - Desde Cuándo ( Sanz )
2011,Rafa Arcaute Calle 13,Latinoamérica *,"Calle 13 featuring Totó la Momposina , Susana Baca and Maria Rita","Marco Antonio Solís - ¿A Dónde Vamos A Parar ? ( Solís ) Jorge Drexler - Que El Soneto Nos Tome Por Sorpresa ( On the Soundtrack Lope ) ( Drexler ) Pablo Alborán - Solamente Tú ( Alborán ) Eric Bazilian , Claudia Brant , Andreas Carlsson , Desmond Child and Ricky Martín - Lo Mejor de Mi Vida Eres Tú ( Ricky Martín featuring Natalia Jiménez )"
2012,Jesse & Joy Tommy Torres,¡Corre ! *,Jesse & Joy,"Juan Luis Guerra , Juanes & Joaquín Sabina - Azul Sabina ( Juanes featuring Joaquín Sabina ) Kiko Cibrián , Gilberto Marín , Julio Ramírez & Mónica Vélez - Creo en Tí ( Reik ) Carla Morrison - Déjenme Llorar ( Morrison ) Juan Luis Guerra - En El Cielo No Hay Hospital ( Guerra ) Jose Luis Latorre , Antonio Orozco and Xavi Pérez - Estoy Hecho de Pedacitos de Ti ( Antonio Orozco featuring Alejandro Fernández ) Maycon Ananias and Cassyano Correr - Extranjero ( María Gadú ) Ricardo Arjona - Fuiste Tú ( Ricardo Arjona featuring Gaby Moreno ) Amaury Gutiérrez and Gian Marco - Invisible ( Gian Marco ) Alejandro Sanz - No Me Compares ( Sanz )"
2013,Andrés Castro Carlos Vives,Volví a Nacer,Carlos Vives,"Roberto Carlos - Esse Cara Sou Eu ( Carlos ) José Luis Pardo - La Que Me Gusta ( Los Amigos Invisibles ) Mario Domm , Hanna Huerta , and Jesse & Joy - Llorar ( Jesse & Joy featuring Domm ) Amaury Gutiérrez - Lo Mejor Que Hay En Mi Vida ( Andrés Cepeda ) Alejandro Sanz - Mi Marciana ( Sanz ) Ricardo Arjona - Mi Novia Se Me Está Poniendo Vieja ( Arjona ) Jorge Luis Piloto - Si Yo Fuera Tú ( Gilberto Santa Rosa ) Aleks Syntek - Sólo El Amor Nos Salvará ( Syntek featuring Malú ) Caetano Veloso - Um Abraçaço ( Veloso )"
2014,Descemer Bueno Gente De Zona Enrique Iglesias,Bailando,Enrique Iglesias featuring Descemer Bueno & Gente De Zona,"Caetano Veloso - A Bossa Nova É Foda Yoel Henríquez and Julio Reyes Copello - Cambio de Piel ( Marc Anthony ) Manu Moreno & Aleks Syntek - Corazones Invencibles Andrés Castro & Carlos Vives - Cuando Nos Volvamos a Encontrar ( Carlos Vives featuring Marc Anthony ) Andrés Castro , Guianko Gómez , Juan Riveros & Prince Royce - Darte un Beso ( Prince Royce ) Mario Domm , Lauren Evans & Mónica Vélez - Decidiste Dejarme ( Camila ) Jesse & Joy - Mi Tesoro Calle 13 & Silvio Rodríguez - Ojos Color Sol Jorge Drexler & Ana Tijoux - Universos Paralelos"
2015,Leonel García Natalia Lafourcade,Hasta la Raíz *,Natalia Lafourcade,"Pedro Capó , Yoel Henríquez , Ricky Martin and Rafael Esparza Ruiz - Disparo al Corazón Julieta Venegas - Ese Camino Beatriz Luengo , Antonio Rayo Gibo , Yotuel Romero and Diego Torres - Hoy Es Domingo Pablo Alborán - Por Fin Claudia Brant and Natalia Jiménez - Quédate Con Ella Leonel García - ¿Recuerdas ? Alejandro Sanz - Un Zombie a la Intemperie Gian Marco - Vida de Mi Vida Pedro Capó - Vivo"
2016,Andrés Castro Shakira Carlos Vives,La Bicicleta,Carlos Vives & Shakira,"Patty Brayden , Ned Claflin and John Finbury - A Chama Verde ( John Finbury featuring Marcella Camargo ) Manuel Medrano - Bajo el Agua ( Medrano ) Celso Fonseca - Céu ( Fonseca ) Enrique Iglesias , Patrick A. Ingunza , Silverlo Lozada , Servando Moriche Primera Mussett , Hasibur Rahman , Francisco Saldana and Wisin - Duele el Corazón ( Enrique Iglesias featuring Wisin ) Jesse & Joy , Danelle Leverett , Jason Reeves and Rune Westberg - Ecos de Amor ( Jesse & Joy ) Sin Bandera - En Ésta No ( Sin Bandera ) Kevin Johansen - Es Como el Día ( Kevin Johansen + The Nada ) Moska and Fito Páez - Hermanos ( Fito Páez & Moska ) Flavio Cianciarulo - La Tormenta ( Los Fabulosos Cadillacs )"
2017,"Daddy Yankee , Erika Ender and Luis Fonsi",Despacito,Luis Fonsi featuring Daddy Yankee,"Ricardo Arjona , songwriter - Ella ( Ricardo Arjona ) Descemer Bueno and Melendi , songwriters - Desde Que Estamos Juntos ( Melendi ) Mario Cáceres , Kevin Mauricio Jiménez Londoño , Maluma , Servando Primera , Stiven Rojas and Bryan Snaider Lezcano Chaverra , songwriters - Felices los 4 ( Maluma ) Diana Fuentes and Tommy Torres , songwriters - La Fortuna ( Diana Fuentes featuring Tommy Torres ) Nermin Harambasic , Maluma , Ricky Martin , Mauricio Montaner , Ricky Montaner , Lars Pedersen , Carl Ryden , Justin Stein , Ronny Vidar Svendsen and Anne Judith Stokke Wik , songwriters - Vente Pa ' Ca ( Ricky Martin featuring Maluma ) Mon Laferte , songwriter - Amárrame ( Mon Laferte featuring Juanes ) Kevin Mauricio Jiménez Londoño , Bryan Snaider Lezcano Chaverra , Joel Antonio López Castro , Maluma and Shakira , songwriters - Chantaje ( Shakira featuring Maluma ) Natalia Lafourcade , songwriter - Tú Sí Sabes Quererme ( Natalia Lafourcade featuring Los Macorinos ) Residente and Jeff Trooko , songwriters - Guerra ( Residente )"
