Championship,Current champion ( s ),Date won,Reign,Days held
CMLL World Heavyweight Championship,Último Guerrero,"October 16 , 2018",2,480+
CMLL World Light Heavyweight Championship,Niebla Roja,"June 10 , 2017",1,973+
CMLL World Middleweight Championship,El Cuatrero,"January 19 , 2018",1,750+
CMLL World Welterweight Championship,Titán,"December 8 , 2019",1,62+
CMLL World Lightweight Championship,Vacant,-,-,-
CMLL World Micro-Estrellas Championship,Chamuel,"December 25 , 2019",1,45+
CMLL World Mini-Estrella Championship,Shockercito,"March 5 , 2017",1,1070+
CMLL World Tag Team Championship,Alianza de Plata y Oro ( Carístico and Místico ),"November 1 , 2019",1,99+
CMLL World Trios Championship,"Los Guerreros Lagunero ( Euforia ( 3 ) , Gran Guerrero ( 2 ) and Último Guerrero ( 5 ) )","September 28 , 2018",2,498+
CMLL World Women 's Championship,Marcela,"November 19 , 2018",5,446+
NWA World Historic Light Heavyweight Championship,Stuka Jr,"August 14 , 2018",1,543+
NWA World Historic Middleweight Championship,Carístico,"August 21 , 2018",1,536+
NWA World Historic Welterweight Championship,Volador Jr,"August 4 , 2018",3,553+
