Title,Year,Genre,Notes
Spartakiada,1929,Documentary,Silent propaganda piece recapping athletic competitions held in Moscow in 1928
Charlie Chan at the Olympics,1937,Mystery,Charlie Chan 's oldest son is chosen to compete in the 1936 Summer Olympics
Olympia Part 1 : Festival of Nations,1938,Documentary,Leni Reifenstahl 's Nazi propaganda film chronicling the 1936 Summer Olympics
Olympia Part 2 : Festival of Beauty,1938,Documentary,Leni Reifenstahl 's Nazi propaganda film chronicling the 1936 Summer Olympics
Kings of the Olympics,1948,Documentary,"American film mostly culled from Olympia , Riefenstahl film on 1936 Summer Olympics"
Olympia 52,1952,Documentary,"French film about 1952 Summer Olympics in Helsinki , Finland"
Geordie,1955,Comedy,A not-so-wee Scot goes to Australia for the 1956 Summer Olympics
The Grand Olympics,1961,Documentary,A look back at the 1960 Summer Olympics in Rome
Tokyo Olympiad,1965,Documentary,A look back at the 1964 Summer Olympics in Japan
13 jours en France,1968,Documentary,A documentary about the 1968 Winter Olympics in Grenoble
The Olympics in Mexico,1969,Documentary,A documentary highlighting the 1968 Summer Olympics in Mexico City
Visions of Eight,1973,Documentary,Eight directors ' takes on 1972 Summer Olympics in Munich
White Rock,1977,Documentary,"A look at 1976 Winter Olympics held in Innsbruck , Austria"
A Step Away,1980,Documentary,"Footage from 1979 Pan American Games in Puerto Rico , narrated by Orson Welles"
Animalympics,1980,Animated,The animal kingdom stages its own Summer Olympics
The Golden Moment,1980,Drama,TV movie on American and Russian athletes at Moscow Olympics who fall in love
Stade 81 a.k.a . Starting Blocks,1981,Documentary,A short film documentary about the first Special Olympics
The First Olympics : Athens 1896,1984,Drama,TV mini-series about the origins of the Modern Olympics
16 Days of Glory,1986,Documentary,Official documentary of the 1984 Summer Olympics in Los Angeles
Dorf and the First Games of Mount Olympus,1988,Comedy,"Direct-to-video short with Tim Conway , parody of Ancient Olympic Games"
