Club,Club founded,League,Level,Home Ground,Capacity
Hertha BSC,1892,Bundesliga,1,Olympiastadion,"74,475"
1 . FC Union Berlin,1966,Bundesliga,1,Stadion An der Alten Försterei,"22,012"
BFC Dynamo,1966,Regionalliga Nordost,4,Friedrich-Ludwig-Jahn-Sportpark,"19,708"
FC Viktoria 1889 Berlin,1889,Regionalliga Nordost,4,Stadion Lichterfelde,"4,300"
Berliner AK 07,1907,Regionalliga Nordost,4,Poststadion,"10,000"
VSG Altglienicke,1946,Regionalliga Nordost,4,Friedrich-Ludwig-Jahn-Sportpark,"19,708"
SV Lichtenberg 47,1947,Regionalliga Nordost,4,Hans-Zoschke-Stadion,"10,000"
Tennis Borussia Berlin,1902,NOFV-Oberliga Nord,5,Mommsenstadion,"15,005"
SpVg Blau-Weiß 90 Berlin,1992,NOFV-Oberliga Nord,5,Sportplatz an der Rathausstraße ( Union-Platz ),"3,000"
FC Hertha 03 Zehlendorf,1903,NOFV-Oberliga Nord,5,Ernst-Reuter-Sportanlage,"4,000"
CFC Hertha 06,1903,NOFV-Oberliga Nord,5,Sportplatz Sömmeringstraße,"3,000"
SC Staaken,1919,NOFV-Oberliga Nord,5,Sportpark Staaken,"1,500"
SV Tasmania Berlin,1973,Berlin-Liga,6,Sportpark Neukölln,"3,500"
BFC Preussen,1894,Berlin-Liga,6,Preussen-Stadion Malteserstraße,"3,000"
Berliner Sport-Club,1892,Berlin-Liga,6,Hubertussportplatz,"3,000"
SC Charlottenburg,1898,Berlin-Liga,6,Mommsenstadion,"15,005"
SFC Stern 1900,1900,Berlin-Liga,6,Sportplatz Schildhornstraße,"1,000"
TuS Makkabi Berlin,1970,Berlin-Liga,6,Julius-Hirsch-Sportanlage,"1,000"
SV Empor Berlin,1949,Berlin-Liga,6,Friedrich-Ludwig-Jahn-Sportpark,"19,708"
Türkiyemspor Berlin,1978,Berlin-Liga,6,Willy-Kressmann-Stadion,"5,000"
