Name,Location,DOD,Language
Acacius,Caesarea,366,Greek
Adamantius,Alexandria,300,Greek
Africanus,Jerusalem,240,Greek
Alexander,Alexandria,328,Greek
Ambrose,Milan,397,Latin
Ammonius,Alexandria,250 ( III ),Greek
Ammonius,Alexandria,450 ( V ),Greek
Amphilochius,Iconium,394,Greek
Anastasius,Sinai Peninsula,750 ( VIII ? ),Greek
Anastasius,Antioch,700,Greek
Andrew,Caesarea,614,Greek
Andrew,Crete,740,Greek
Ansbert,Rouen,750 ( VIII ),Latin
Anthony,Padua,1231,Latin
Antiochus,Mar Saba,614,Greek
Aphraates,Assyria,367,Syriac
Apollinaris,Laodicea,380,Greek
Apringius,Beja,551,Latin
Arethas,Caesarea,914,Greek
Aristides,Athens,150 ( II ),Greek
