Team,Arena,City/Area
Alcorcón,Prado de Santo Domingo,Alcorcón
Areces Ecopilas Pavitek Asturhockey,Municipal,Grado
Bigues i Riells,Pavelló d'Esports,Bigues i Riells
Cerdanyola,Can Xarau,Cerdanyola del Vallès
Cuencas Mineras Nortesport,Municipal,Lena
Garatge Plana Girona,Palau II,Girona
Generali Palau de Plegamans,Maria Víctor,Palau-solità i Plegamans
Las Rozas,Pabellón Municipal,Las Rozas
Manlleu Magic Studio,Pavelló d'Esports,Manlleu
Sant Cugat,Pavelló Municipal,Sant Cugat del Vallès
Telecable Gijón,Mata-Jove,Gijón
Vila-sana,Pavelló d'Esports,Vila-sana
Vilanova,Pavelló d'Esports,Vilanova i la Geltrú
Voltregà Stern Motor,Victorià Oliveras de la Riva,Sant Hipòlit de Voltregà
