Seasons,Team,Last appearance in NBA Finals,Result
69,Sacramento Kings,1951,Won vs. New York
59,Atlanta Hawks,1961,Lost vs. Boston
49,Los Angeles Clippers,0 Never,yyyy -
45,Milwaukee Bucks,1974,Lost vs. Boston
43,Denver Nuggets,0 Never,yyyy -
40,Washington Wizards,1979,Lost vs. Seattle
30,Minnesota Timberwolves,0 Never,yyyy -
29,Charlotte Hornets,0 Never,yyyy -
27,Portland Trail Blazers,1992,Lost vs. Chicago
26,Phoenix Suns,1993,Lost vs. Chicago
24,Houston Rockets,1995,Won vs. Orlando
24,Memphis Grizzlies,0 Never,yyyy -
21,Utah Jazz,1998,Lost vs. Chicago
21,Chicago Bulls,1998,Won vs. Utah
20,New York Knicks,1999,Lost vs. San Antonio
19,Indiana Pacers,2000,Lost vs. Los Angeles Lakers
18,Philadelphia 76ers,2001,Lost vs. Los Angeles Lakers
17,New Orleans Pelicans,0 Never,yyyy -
16,Brooklyn Nets,2003,Lost vs. San Antonio
14,Detroit Pistons,2005,Lost vs. San Antonio
