Name,Position,Joined Staff,Alma Mater
Paul Chryst,Head coach / Quarterbacks coach,2015,Wisconsin
Joe Rudolph,Associate head coach / Offensive coordinator / Offensive line coach,2015,Wisconsin
Justin Wilcox,Defensive coordinator,2016,Oregon
John Settle,Running backs coach,2015,Appalachian State
Mickey Turner,Tight ends coach,2015,Wisconsin
Ted Gilmore,Wide receivers coach,2015,Wyoming
Jim Leonhard,Defensive backs coach,2016,Wisconsin
Tim Tibesar,Outside linebackers coach,2015,North Dakota
Inoke Breckterfield,Defensive line coach,2015,Oregon State
Chris Haering,Special teams coordinator,2015,West Virginia
Ross Kolodziej,Strength and Conditioning coach,2015,Wisconsin
