Conference,Nickname,Founded,Football Members,Sports,Headquarters
Big Sky Conference,Big Sky,1963,12,16,"Ogden , Utah"
Big South Conference,Big South,1983,10,19,"Charlotte , North Carolina"
Colonial Athletic Association,CAA,1979,10,21,"Richmond , Virginia"
Ivy League +,,1954,8,33,"Princeton , New Jersey"
Mid-Eastern Athletic Conference ++,MEAC,1970,13,16,"Norfolk , Virginia"
Missouri Valley Football Conference,MVFC,1982,10,1,"St. Louis , Missouri"
Northeast Conference,NEC,1981,10,22,"Somerset , New Jersey"
Ohio Valley Conference,OVC,1948,12,19,"Brentwood , Tennessee"
Patriot League,,1986,10,24,"Center Valley , Pennsylvania"
Pioneer Football League,PFL,1991,11,1,"St. Louis , Missouri"
Southern Conference,SoCon,1921,10,20,"Spartanburg , South Carolina"
Southland Conference,Southland,1963,11,17,"Frisco , Texas"
Southwestern Athletic Conference%,SWAC,1920,10,18,"Birmingham , Alabama"
