Pick #,MLS team,Player,Position,Affiliation
20,FC Dallas,Ryan Hollingshead,Midfielder,UCLA
21,New England Revolution,Donnie Smith,Forward,Charlotte Carolina Dynamo
22,New York Red Bulls,Ian Christianson,Midfielder,Georgetown Reading United
23,New England Revolution,Luke Spencer,Forward,Xavier Cincinnati Kings
24,Los Angeles Galaxy,Kofi Opare,Defender,Michigan Michigan Bucks
25,Colorado Rapids,Kory Kindle,Defender,CSU Bakerfield Ventura County Fusion
26,Philadelphia Union,Don Anding,Forward,Northeastern
27,Montreal Impact,Paolo DelPiccolo,Midfielder,Louisville
28,Columbus Crew,Drew Beckie,Defender,Denver Ottawa Fury
29,Real Salt Lake,Devon Sandoval,Forward,New Mexico
30,Chicago Fire,Yazid Atouba,Midfielder,Rainbow FC Bamenda
31,Philadelphia Union,Stephen Okai,Midfielder,Mobile Reading United
32,Montreal Impact,Brad Stuver,Goalkeeper,Cleveland State Akron Summit Assault
33,San Jose Earthquakes,Dan Delgado,Midfielder,San Diego Orange County Blue Star
34,Portland Timbers,Dylan Tucker-Gangnes,Defender,Washington Portland Timbers U23s
35,Seattle Sounders FC,Dylan Remick,Defender,Brown Worcester Hydra
36,New England Revolution,Luis Soffner,Goalkeeper,Indiana
37,Houston Dynamo,Jimmy Nealis,Defender,Georgetown Long Island Rough Riders
38,Los Angeles Galaxy,Greg Cochrane,Defender,Louisville Reading United
