Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Cha-cha-cha,Matt White,27,Adam Brand,15
Jive,"Emily Scott , Jessica McNamee , Kylie Gillies",23,Rob Mills,20
Rumba,"Kylie Gillies , Jessica McNamee",24,"Peter Everitt , Fiona O'Loughlin",16
Tango,Kylie Gillies,27,"Emily Scott , Gerrard Gosens",19
Paso doble,Kylie Gillies,26,Gerrard Gosens,15
Samba,Kylie Gillies,27,Gerrard Gosens,11
Waltz,Matt White,27,Peter Everitt,17
Quickstep,Jessica McNamee,27,Adam Brand,9
Foxtrot,"Matt White , Kylie Gillies",25,Gerrard Gosens,15
West Coast Swing,Matt White,16,Adam Brand,12
Aussie Smooth,Matt White,29,Gerrard Gosens,16
Salsa,Lincoln Lewis,27,Gerrard Gosens,8
Segway,Kylie Gillies,28,Gerrard Gosens,18
Freestyle,Matt White,30,Adam Brand,24
