Statistic,Player,Record,Phillies career
Wins,Steve Carlton,241,1972 - 1986
Losses,Robin Roberts,199,1948 - 1961
Win-loss percentage,Grover Cleveland Alexander,.676,"1911 - 1917 , 1930"
ERA,George McQuillan,1.79,1907 - 1911 1915 - 1916
Saves,Jonathan Papelbon,123,2012 - 2015
Strikeouts,Steve Carlton,"3,031",1972 - 1986
Shutouts,Grover Cleveland Alexander,61,"1911 - 1917 , 1930"
Games,Robin Roberts,529,1948 - 1961
Innings,Robin Roberts,"3,739⅓",1948 - 1961
Games started,Steve Carlton,499,1972 - 1986
Complete games,Robin Roberts,272,1948 - 1961
Walks,Steve Carlton,"1,252",1972 - 1986
Hits allowed,Robin Roberts,"3,661",1948 - 1961
Wild pitches,Steve Carlton,120,1972 - 1986
Hit batsmen,Bill Duggleby,81,"1898 , 1901 - 1907"
