Round,Pick,Player,Recruited from,League,Club
1,1,Steve Clifton,North Ballarat,VFL,Greater Western Sydney
1,2,Rhys Cooyou,East Fremantle,WAFL,Greater Western Sydney
1,3,Jonathan Giles,Sturt,SANFL,Greater Western Sydney
1,4,Andrew Phillips,Lauderdale,TSL,Greater Western Sydney
1,5,Jimmi Savage,Norwood,SANFL,Greater Western Sydney
1,6,Isiah Stevens,Swan Districts,WAFL,Greater Western Sydney
1,7,Pass,,,Greater Western Sydney
1,8,Pass,,,Greater Western Sydney
1,9,Joel Tippett,Brisbane Lions,AFL,Gold Coast
1,10,Tim Houlihan,West Coast,AFL,West Coast
1,11,Ben Jakobi,Coburg,VFL,Richmond
1,12,Josh Jenkins,Lake Boga,CMFL,Essendon
1,13,Brad Harvey,Eastern Ranges,TAC Cup,Brisbane Lions
1,14,Daniel Nicholson,University Blues,VAFA,Melbourne
1,15,Timothy Milera,Port Adelaide Magpies,SANFL,Adelaide
1,16,Tom Jonas,Norwood,SANFL,Port Adelaide
1,17,Cameron Pedersen,Box Hill,VFL,North Melbourne
1,18,Ed Curnow,Box Hill,VFL,Carlton
1,19,Sam Menegola,East Fremantle,WAFL,Hawthorn
1,20,Gavin Roberts,Norwood,SANFL,Fremantle
