Property,Municipality,Ownership,Comments,Ref
True View of Matsushima 松島真景図 Matsushima shinkeizu,Matsushima,,by Tani Bunchō,[ 17 ]
Date Mitsumune 伊達光宗 像 Date Mitsumune zō,Matsushima,Zuigan-ji,colour on silk,[ 18 ]
Tenrin'in Irohahime 天麟院五郎八姫像 Tenrin'in Irohahime zō,Matsushima,Zuigan-ji,colour on paper,[ 19 ]
"Date Masamune , colour on paper , by Kanō Tan'yū 紙本著色伊達政宗画像 ( 狩野探幽筆 ) shihon chakushoku Date Masamune gazō ( Kanō Tan'yū-hitsu )",Sendai,Sendai City Museum,,[ 20 ]
Byōbu with Waka and Chrysanthemums 菊絵和歌屏風 kiku-e waka byōbu,Sendai,Sendai City Museum,,[ 21 ]
Byōbu with Blossom Viewing at Kasumigaoka 躑躅ヶ岡花見図屏風 Kasumigaoka hanami zu byōbu,Sendai,Sendai City Museum,,[ 22 ]
Partition paintings from the Former Honmaru and Ninomaru Palace at Sendai Castle 仙台城旧本丸及び二ノ丸御殿障壁画 Sendai-jō kyū-Honmaru oyobi Ninomaru Goten shōhekiga,Sendai,Sendai City Museum,"designation comprises a pair of two-panel Byōbu with Mallows ( 紙本著色葵図 ) , six panels of Flowers and Trees , on paper with gold ground ( 紙本金地著色花木図 ) , and four panels of Pheasant in a Pine Tree , colour on paper with gold ground ( 紙本金地著色松に山鳥図 ) by Azuma Tōyō ( 東東洋 )",[ 23 ]
Portraits of the Successive Generations of Lords and Ladies of the Sendai Domain 仙台藩歴代藩主及夫人肖像画 Sendai-han rekidai han-shu fujin shōzōga,Sendai,Sendai City Museum,series of 31 scrolls and 2 panels ( Date Masamune pictured ),[ 24 ]
"Rei Shōjo , Peonies , Confederate Rose , by Date Tsunamune 絹本著色霊昭女.牡丹.芙蓉図 ( 伊達綱宗筆 ) kenpon chakushoku Rei Shōjo・botan・fuyō zu ( Date Tsunamune hitsu )",Sendai,Sendai City Museum,three scrolls,[ 25 ]
"Our Lady of Sorrows , oil on copper plate 銅板油彩悲しみのマリア像 dōban yusai kanashimi no Maria zō",Sendai,Sendai City Museum,,[ 26 ]
"Eight Views of Xiaoxiang , by Sesson Shūkei 瀟湘八景図 ( 雪村周継筆 ) Shōshō hakkei ( Sesson Shūkei hitsu )",Sendai,Sendai City Museum,six scrolls,[ 27 ]
"True View of Mount Dainenji , attributed to Takaku Aigai 大年寺山 真景図 ( 伝 高久靄厓 筆 ) Dainenji-yama shinkei zu ( den-Takaku Aigai hitsu )",Sendai,Sendai City Museum,,[ 28 ]
