Year,English title,Korean title,Role
2018,The Cyclist King,자전차왕 엄복동,
2018,Monstrum,물괴,Sim Woon
2018,Snatch Up,머니백,Killer Park
2018,Gate,게이트,Jang-choon
2017,Steel Rain,강철비,Kim Kyung-young
2017,Along With the Gods : The Two Worlds,신과 함께,Great King of the Senses
2017,Man of Will,대장 김창수,Lee Jae-jeong
2017,The Battleship Island,군함도,Yoon Hak-cheol
2017,Real,리얼,Noh Yeom
2017,The Merciless,불한당 : 나쁜 놈들의 세상,Byung-chul
2017,The Mayor,특별시민,Jeong Chi-in
2017,The Prison,프리즌,General manager Bae
2017,New Trial,재심,Attorney
2017,I 'm Doing Fine in Middle School,중2라도 괜찮아,Taoist Baek-woon
2016,Misbehavior,여교사,Board Chairman
2016,Pandora,판도라,Prime Minister
2015,Inside Men,내부자들,Jang Pil-woo
2015,The Magician,조선마술사,
2015,The Long Way Home,서부전선,Lieutenant Yoo
2015,Untouchable Lawmen,치외법권,Chief detective Wang
