Pick #,MLS team,Player,Position,Affiliation
58,Toronto FC,Taylor Morgan,Forward,George Mason Chicago Fire Premier
59,Chivas USA,PASS,,
60,Portland Timbers,PASS,,
61,New England Revolution,Gabe Latigue,Midfielder,Elon
62,Philadelphia Union,Leo Fernandes,Midfielder,Stony Brook Reading United
63,Colorado Rapids,Marcello Castro,Defender,Sacred Heart Ottawa Fury
64,FC Dallas,T. J. Nelson,Midfielder,SMU
65,Montreal Impact,PASS,,
66,Columbus Crew,Shawn Sloan,Midfielder,High Point
67,Vancouver Whitecaps FC,Alejandro Sucre,Forward,Amherst
68,Chicago Fire,Caleb Konstanski,Defender,Indiana
69,Real Salt Lake,Max Wasserman,Defender,UConn
70,New York Red Bulls,Andrew Ribeiro,Midfielder,Creighton Portland Timbers U23s
71,Sporting Kansas City,Mike Reidy,Midfielder,Colgate FC Buffalo
72,San Jose Earthquakes,Peter McGlynn,Defender,UCSB Ventura County Fusion
73,Seattle Sounders FC,Jennings Rex,Midfielder,UNC Charlotte
74,D.C. United,Philip Suprise,Forward,Quinnipiac University
75,Houston Dynamo,Yannick Smith,Forward,Old Dominion Virginia Beach Piranhas
76,Los Angeles Galaxy,PASS,,
