Name,Length,Source,Drainage
Attanagalu Oya,76 km ( 47 mi ),Kegalle District,Negombo Lagoon
Kanakarayan Aru,70 km ( 43 mi ),Omanthai,Chundikkulam Lagoon
Kotmale River,70 km ( 43 mi ),Horton Plains National Park,Mahaweli River
Parangi Aru,60 km ( 37 mi ),Vavuniya District,Palk Strait
Kehelgamu Oya,50 km ( 31 mi ),Horton Plains,Kelani River
Pali Aru,50 km ( 31 mi ),Puliyankulam,Palk Strait
Maskeliya Oya,40 km ( 25 mi ),Peak Wilderness Sanctuary,Kelani River
Nay Aru,40 km ( 25 mi ),Vavuniya District,Palk Strait
Per Aru,32 km ( 20 mi ),Vavuniya District,Nanthi Lagoon
Mandekal Aru,30 km ( 19 mi ),Mullaitivu District,Palk Strait
Nanu Oya,27 km ( 17 mi ),Pidurutalagala,Kotmale River
Pallavarayankaddu Aru,27 km ( 17 mi ),Mullaitivu District,Palk Strait
Akkarayan Aru,25 km ( 16 mi ),Mullaitivu District,Jaffna Lagoon
Netheli Aru,24 km ( 15 mi ),Mullaitivu District,Chundikkulam Lagoon
Theravil Aru,23 km ( 14 mi ),Mullaitivu District,Chundikkulam Lagoon
Nay Aru,20 km ( 12 mi ),Mullaitivu District,Nai Aru Lagoon
Piramenthal Aru,20 km ( 12 mi ),Mullaitivu District,Chundikkulam Lagoon
Kodalikkallu Aru,19 km ( 12 mi ),Mullaitivu District,Nanthi Lagoon
Valukkai Aru,16 km ( 10 mi ),Jaffna District,Jaffna Lagoon
