Subject,Location,Year,Description
William Clarke,"Adjacent High Fell Club , Old Durham Road , Sheriff Hill",2005,"In 1864 , Clarke founded Clarke Chapman at the South Shore of the River Tyne . By 1903 the company was the second largest employer in Gateshead . From 1873 Clarke lived in a 20-room mansion called 'The Hermitage ' , which was built on the same land as the wall on which his commemorative plaque is appended"
Sir Vincent Litchfield Raven KBE,"Site of former Greenesfield , near High Level Bridge",2011,Raven was an engineering genius who was the chief mechanical engineer at the North Eastern Railway where his successes in steam engineering ultimately frustrated his own visionary work on the possibility of electric trains
Sister Winifred Laver MBE,"Gateshead Evangelical Centre , Derwentwater Road , Gateshead",2011,"Birkenhead born Laver was a Methodist missionary who worked with the sick , starving and poor of Gateshead through the Vine Street Mission in Teams which she instituted in 1916 . For her work she was awarded the Freedom of Gateshead"
Carter 's Well,"Adjacent Carter 's Lodge , west side of Durham Road , Low Fell",1995,Public well which was the principal source of drinking and cooking water in Low Fell until the latter part of the 19th century . Restored in 1994
"Madeleine-Hope , Ruth and Sylvia Dodds","Boundary wall of Home House , Low Fell",2005,"The Dodds sisters were renowned public figures during the early part of the 20th century - authors , local politicians and founders of the Little Theatre . They lived at Home House for their entire lives . Plaque unveiled by Joe Mitchinson , Mayor of Gateshead , on 19 October 2005"
William Henry Brockett,"King James Street ( off Old Durham Road ) , Gateshead",2010,"Brockett founded the first Gateshead newspaper , The Gateshead Observer , in 1837 . He was editor of the paper from 1860 until his death in 1867 . He was also heavily involved in local politics ; he was a local councillor , alderman and Mayor of Gateshead in 1839-40"
Sir Joseph Wilson Swan,"Underhill , Kells Lane , Low Fell",2005,"Swan was a chemist and physicist who invented the incandescent light bulb , demonstrating this to the Literary and Philosophical Society of Newcastle upon Tyne in 1880 . His home at Kells Lane , where his blue plaque is now appended , was the first in the world lit by electric light . Swan also revolutionised photography by his patented bromide paper"
Dr. Alfred Cox OBE,"Westview House , Bensham Road , Bensham",2011,"Dr. Cox was influential in improving public health in the borough and helped found the Gateshead Queen Victoria Nursing Association and the Gateshead Medical Association . He left the area in 1908 to work for the British Medical Association , where he was appointed Medical secretary in 1912 ; a post he held for 19 years"
Felling mining disasters,"Mulberry Street , Felling",2012,Unveiled to commemorate the 200th anniversary of an explosion in John Pit at Felling Colliery which killed 92 men and boys . Plaque is situated at a site corresponding with the original entrance to the colliery and was unveiled after a parade by local residents and schoolchildren
Felling mining disasters ( 2 ),"Boundary wall , St Mary 's Church , Heworth",2012,Unveiled to commemorate the 200th anniversary of an explosion in John Pit at Felling Colliery which killed 92 men and boys . A memorial for those who died is on the church grounds . Plaque was unveiled after a parade by local residents and schoolchildren
George Geordie Ridley,"Outer wall , William IV public house , High Street , Gateshead",1995,"Born and bred in Gateshead , Ridley was a coal miner who was less notable in his lifetime than his brother but is now remembered as composer and performer of the Blaydon Races . The plaque is located on the site of his former home"
William Wailes,"Saltwell Towers , Saltwell Park",2005,Wailes was a native of Newcastle upon Tyne who became one of the leading exponents of stained glass in England . His work can still be seen today in cathedrals at Chichester and Newcastle upon Tyne as well as at the restored Saltwell Towers ; a fairytale mansion which he designed for him and his family in the mid 19th century
Blaydon Races,"Shibdon Road , Blaydon-on-Tyne",2012,"Plaque unveiled to celebrate 150th anniversary of the first running of the original Blaydon Race , along with a sculpture from Andrew Mckeown and the renaming of a train at Newcastle Central Station"
William Shield,"Hood Street/Market Lane , Swalwell",2009,"Shield , born 1748 , was a popular composer whose most notable work was the light opera Rosina , which continues to give rise to claims in several places that he , rather than Robert Burns , is the original composer of Auld Lang Syne - indeed , school children present at the plaque unveiling sang a rendition of the song"
Katherine Githa Sowerby,"Entrance to The Drive , Durham Road , Low Fell",2009,"Sowerby , described by The Spectator in 2013 as a playwright , suffragette and Fabian , was the daughter of a noted Gateshead glass maker and grew up in the town . Despite having been a forgotten playwright during much of her life and after her death in 1970 , she is best known for her critically acclaimed play Rutherford and Son"
High Level Bridge,"East side of the central pier , High Level Bridge",2008,"Opened in 1845 , the High Level Bridge linking Gateshead and Newcastle upon Tyne over the Tyne was the first bridge in the world to combine road and rail travel . Designed by Robert Stephenson , it is now a Grade I listed bridge"
High Level Bridge Lamps,"West side of the central pier , High Level Bridge",2008,"Plaque commemorating the original lamps which still span the length of the bridge . A £171,000 project to restore these and convert them from gas to electric was completed in 2008 as part of a wider £40m bridge restoration project . The completed work was awarded a Grand Prize Europa Nostra Award in 2009"
Tyne Bridge 75th Anniversary,"West side of South Tower , Tyne Bridge , Hillgate",2003,Plaque commemorating the 75th anniversary of the opening of the Tyne Bridge - a steel and granite symbol of the Tyneside 's industrial heritage described by the BBC as one of the great bridges of the world - by George V in 1928
Arthur Holmes,"19 Primrose Hill , Low Fell",2005,"Born in 1890 , geologist Holmes recognised that the earth was billions , rather than millions , of years old . His textbook Principles of Physical Geology is seminal work in the field and he was the first Professor of Geology at Durham University , where they have named a Geological society in his honour"
William and Catherine Booth,"15 Woodbine Place , Bensham",2005,"William Booth came with his wife Catherine to Gateshead in 1858 where he was appointed minister to the Gateshead Methodist circuit . His preaching at the Bethedsa Chapel was immediately successful and it was not uncommon for 2,000 people to fill the chapel and hear him preach . He left Gateshead for London in 1861 and in 1865 the Booths founded The Salvation Army"
