Club,Qualified,Champions,Runners-up,Seasons
SV Victoria 96 Magdeburg,3,0,0,"1903 , 1904 , 1905"
VfR Mannheim,8,1,0,"1925 , 1935 , 1938 , 1939 , 1943 , 1944 , 1949 , 1950"
Waldhof Mannheim,5,0,0,"1934 , 1936 , 1937 , 1940 , 1942"
HUS Marienwerder,1,0,0,1942
Borussia Mönchengladbach,1,0,0,1920
FC Mönchengladbach,1,0,0,1909
FC Mülhausen 93,3,0,0,"1941 , 1943 , 1944"
Mülheimer SV,2,0,0,"1934 , 1940"
FC Bayern Munich,5,1,0,"1926 , 1928 , 1929 , 1932 , 1944"
TSV 1860 Munich,7,0,1,"1927 , 1931 , 1933 , 1941 , 1943 , 1948 , 1963"
FC Wacker München,2,0,0,"1922 , 1928"
Preußen Münster,1,0,1,1950
