Name,City/municipality,Province,Developer
168 Mall,Davao City,Davao del Sur,Filipino-Chinese Traders Association ( Davao City )
Abreeza,Davao City,Davao del Sur,Ayala Land
Center Point Plaza,Davao City,Davao del Sur,New City Commercial Corp
Chimes Mall,Davao City,Davao del Sur,Felcris Corp
CityMall Tagum,Tagum,Davao del Norte,DoubleDragon Properties
DCLA Shopping Center,Davao City,Davao del Sur,
Felcris Centrale,Davao City,Davao del Sur,Felcris Corp
Gaisano Grand Mall Carmen,Carmen,Davao del Norte,Gaisano
Gaisano Grand Mall Digos,Digos,Davao del Sur,Gaisano
Gaisano Grand Mall Panabo,Panabo,Davao del Norte,Gaisano
Gaisano Grand Mall Tagum,Tagum,Davao del Norte,Gaisano
Gaisano Grand Mall of Tibungco,Davao City,Davao del Sur,DSG Sons Group Inc
Gaisano Grand Mall Toril,Davao City,Davao del Sur,Gaisano
Gaisano Mall of Toril,Davao City,Davao del Sur,DSG Sons Group Inc
Gaisano Mall of Davao,Davao City,Davao del Sur,DSG Sons Group Inc
Gaisano Mall of Tagum,Tagum,Davao del Norte,DSG Sons Group Inc
Gaisano Mall of Digos,Digos,Davao del Sur,DSG Sons Group Inc
Gaisano Grand Citimall Davao-Ilustre,Davao City,Davao del Sur,Shogun Management & Development Corp
NCCC Mall Buhangin,Davao City,Davao del Sur,New City Commercial Corp
NCCC Main Uyanguren,Davao City,Davao del Sur,New City Commercial Corp
