Club,Founded,Location,RLC Honours
Bramley Buffaloes,1879,Leeds,National League Three : 2006 RLC National : 2009
Coventry Bears,1996,Coventry,"Western Division : 2000 Midlands Division : 2001 2002 Harry Jepson Trophy : 2002 National League 3 : 2004 Midlands Premier : 2007 , 2009 , 2010"
Dewsbury Celtic,1879,"Dewsbury , Kirklees",-
Featherstone Lions,1994,"Featherstone , Wakefield",National Division : 2007
Hemel Stags,1981,"Hemel Hempstead , Hertfordshire","Eastern Division : 2000 South Central Division : 2001 , 2002 National League Three : 2012"
Huddersfield Underbank Rangers,1989,"Holmfirth , Kirklees",National Division : 2011
Kippax Knights,2009,"Kippax , West Yorkshire",RLC Yorkshire Premier : 2009
Nottingham Outlaws,1998,Nottingham,"North Midlands Division : 2003 , 2004 Midlands Premier : 2006 , 2008 Harry Jepson Trophy : 2008"
Valley Cougars,2001,"Nelson , Caerphilly , Wales","Welsh Premier : 2008 , 2010"
Warrington Wizards,2003,Warrington,National League Three : 2003 RLC National : 2010
