US,Album,Artist,Record Label
47,20th Century Masters : The Millennium Collection,Johnny Cash,Mercury Nashville
14,After the Storm,Chris LeDoux,Capitol Nashville
39,Another Way to Go,Radney Foster,Dualtone
13,Barricades & Brickwalls,Kasey Chambers,Warner Bros
46,The Best of America,Various Artists,Curb
20,Bluegrass & White Snow : A Mountain Christmas,Patty Loveless,Epic
47,Bramble Rose,Tift Merritt,Lost Highway
39,Can You Hear Me Now,Sawyer Brown,Curb
39,Ca n't Back Down,Collin Raye,Epic
35,Chase the Sun,Shannon Lawson,MCA Nashville
37,Cheap Drunk : An Autobiography,Bill Engvall,Warner Bros
28,Classic Country : Great Story Songs,Various Artists,Time Life
19,Cledus Envy,Cledus T. Judd,Monument
39,Cledus Navidad,Cledus T. Judd,Monument
37,The Color of Roses,Lorrie Morgan,Image
13,Country Croonin ',Anne Murray,StraightWay
46,The Dark,Guy Clark,Sugar Hill
21,Down the Old Plank Road : The Nashville Sessions,The Chieftains,RCA
29,Easy,Kelly Willis,Rykodisc
34,Electric,Jack Ingram,Columbia
