Call,Name,Noted for
1520,William Atwater,Bishop of Lincoln
1555,Stephen Gardiner,Bishop of Winchester
1588,Richard Bancroft,Archbishop of Canterbury
1589,Lancelot Andrewes,Bishop of Winchester
1592,John Whitgift,Archbishop of Canterbury
1615,William Laud,Archbishop of Canterbury
1615,Joseph Hall,Bishop of Exeter
1622,Thomas Morton,Bishop of Lichfield
1623,James Ussher,Archbishop of Armagh and Primate of All Ireland
1635,William Juxon,Archbishop of Canterbury
1663,Gilbert Sheldon,Archbishop of Canterbury
