No,Peak,Country,Elevation ( m ),Prominence ( m ),Col ( m )
1,Dhaulagiri,Nepal,"8,167","3,357",4810
2,Gurla Mandhata,China,"7,694","2,788",4906
3,Dhaulagiri II,Nepal,"7,752","2,397",5355
4,Api,Nepal,"7,132","2,040",5092
5,Kanjiroba,Nepal,"6,883","1,870",5013
6,Saipal,Nepal,"7,031","1,824",5207
7,Kubi Gangri,Nepal / China,"6,859","1,699",5160
8,Deora,Nepal,"4,390","1,678",2712
9,Changla,Nepal / China,"6,721","1,657",5064
10,Bhalu Lek,Nepal,"5,425","1,643",3782
11,Jethi Bahurani,Nepal,"6,850","1,558",5292
