Team,Home city,Years active,League / Tournament
Academia Bogotana,Bogotá,1991-1995,Categoría Primera B
Academia F.C,Bogotá,2005-2012,Categoría Primera B
Alianza Llanos,Villavicencio,1991-1996,Categoría Primera B
Atlético Barranquilla,Barranquilla,2001,Categoría Primera B
Atlético Buenaventura,Buenaventura,1991-1995,Categoría Primera B
Atlético Córdoba,Cereté,1996-1999,Categoría Primera B
Atlético de la Sabana,Sincelejo,2008-2010,Categoría Primera B
Atlético Juventud,Girardot,2007-2010,Categoría Primera B
Atlético Popayán,Popayán,1999,Categoría Primera B
Ayacucho Cali,Cali,1919,Copa Centenario Batalla de Boyacá
Bajo Cauca F.C,Caucasia,2004-2008,Categoría Primera B
Bartolinos,Bogotá,1918,Campeonato Nacional
Bello F.C,Bello,1995-2007,Categoría Primera B
Boca Juniors de Cali,Cali,1937-1957,Categoría Primera A
Cartago F.C,Cartago,1995-1996,Categoría Primera B
Centauros Villavicencio,Villavicencio,2002-2011,"Categoría Primera A , Categoría Primera B"
Chía F.C,Chía,2003-2004,Categoría Primera B
Club El Cóndor,Bogotá,1991-2002,Categoría Primera B
Colombia F.C,Bogotá,1918,Campeonato Nacional
Cooperamos Tolima,Ibagué,1996-2001,Categoría Primera B
