Season,Winner,Team,Position,Win #
1975-76,Börje Salming,Toronto Maple Leafs,D,1
1976-77,Börje Salming,Toronto Maple Leafs,D,2
1977-78,Ulf Nilsson,Winnipeg Jets,C,1
1978-79,Börje Salming,Toronto Maple Leafs,D,3
1979-80,Anders Hedberg,New York Rangers,RW,1
1980-81,Kent Nilsson,Calgary Flames,C,1
1981-82,Thomas Gradin,Vancouver Canucks,C,1
1982-83,Pelle Lindbergh,Philadelphia Flyers,G,1
1983-84,Patrik Sundström,Vancouver Canucks,F,1
1984-85,Mats Näslund,Montreal Canadiens,LW,1
1985-86,Mats Näslund,Montreal Canadiens,LW,2
1986-87,Tomas Sandström,New York Rangers,RW,1
1987-88,Håkan Loob,Calgary Flames,RW,1
1988-89,Patrik Sundström,New Jersey Devils,F,2
1989-90,Thomas Steen,Winnipeg Jets,F,1
1990-91,Tomas Sandström,Los Angeles Kings,RW,2
1991-92,Calle Johansson,Washington Capitals,D,1
1992-93,Mats Sundin,Quebec Nordiques,C,1
1993-94,Mats Sundin,Quebec Nordiques,C,2
1994-95,Mikael Renberg,Philadelphia Flyers,RW,1
