Book,Author ( s ),Original language,First published,Approximate sales,Genre
"The Lion , the Witch and the Wardrobe",C. S. Lewis,English,1950,85 million,fantasy
She : A History of Adventure,H. Rider Haggard,English,1887,83 million,adventure
The Adventures of Pinocchio ( Le avventure di Pinocchio ),Carlo Collodi,Italian,1881,> 80 million,fantasy
Vardi Wala Gunda,Ved Prakash Sharma,Hindi,1992,> 80 million,detective
The Da Vinci Code,Dan Brown,English,2003,80 million,mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million,fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million,fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million,fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million,fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million,fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million,fantasy
The Catcher in the Rye,J. D. Salinger,English,1951,65 million,coming-of-age
The Alchemist ( O Alquimista ),Paulo Coelho,Portuguese,1988,65 million,fantasy
The Bridges of Madison County,Robert James Waller,English,1992,60 million,romance
Ben-Hur : A Tale of the Christ,Lew Wallace,English,1880,50 million,historical
You Can Heal Your Life,Louise Hay,English,1984,50 million,self-improvement
One Hundred Years of Solitude ( Cien años de soledad ),Gabriel García Márquez,Spanish,1967,50 million,magic realism
Lolita,Vladimir Nabokov,English,1955,50 million,general
Heidi,Johanna Spyri,German,1880,50 million,children 's fiction
The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,English,1946,50 million,manual
