City,Station,OTA digital channel ( virtual channel ),Digital OTA launch date
"Calgary , Alberta",CBRT-DT,21 ( 9.1 ),"April 1 , 2011"
"Charlottetown , Prince Edward Island",CBCT-DT,13 ( 13.1 ),"August 31 , 2011"
"Edmonton , Alberta",CBXT-DT,42 ( 5.1 ),"April 1 , 2011"
"Fredericton , New Brunswick",CBAT-DT,31 ( 4.1 ),"August 31 , 2011"
"Halifax , Nova Scotia",CBHT-DT,39 ( 3.1 ),"August 31 , 2011"
"Montreal , Quebec",CBMT-DT,20 ( 6.1 ),"February 21 , 2005"
"Ottawa , Ontario",CBOT-DT,25 ( 4.1 ),"September 13 , 2006"
"Regina , Saskatchewan",CBKT-DT,9 ( 9.1 ),"August 31 , 2011"
"St. John 's , Newfoundland and Labrador",CBNT-DT,8 ( 8.1 ),"August 31 , 2011"
"Toronto , Ontario",CBLT-DT,20 ( 5.1 ),"March 5 , 2005"
"Vancouver , British Columbia",CBUT-DT,43 ( 2.1 ),"January 9 , 2006"
"Windsor , Ontario",CBET-DT,9 ( 9.1 ),"August 31 , 2011"
"Winnipeg , Manitoba",CBWT-DT,27 ( 6.1 ),"December 9 , 2011"
"Yellowknife , Northwest Territories",CFYK-DT,8 ( 8.1 ),"August 1 , 2012"
