Medal,Name,Sport,Event
Gold,Wolfgang Hoppe Dietmar Schauerhammer,Bobsleigh,Two-man
Gold,Wolfgang Hoppe Roland Wetzig Dietmar Schauerhammer Andreas Kirchner,Bobsleigh,Four-man
Gold,Katarina Witt,Figure skating,Women 's singles
Gold,Steffi Walter-Martin,Luge,Women 's individual
Gold,Jens Weißflog,Ski jumping,Men 's normal hill
Gold,Christa Luding-Rothenburger,Speed skating,Women 's 500m
Gold,Karin Kania-Enke,Speed skating,Women 's 1000m
Gold,Karin Kania-Enke,Speed skating,Women 's 1500m
Gold,Andrea Ehrig-Schöne-Mitscherlich,Speed skating,Women 's 3000m
Silver,Frank-Peter Roetsch,Biathlon,Men 's 20 km
Silver,Bernhard Lehmann Bogdan Musiol,Bobsleigh,Two-man
Silver,Bernhard Lehmann Bogdan Musiol Ingo Voge Eberhard Weise,Bobsleigh,Four-man
Silver,Bettina Schmidt,Luge,Women 's individual
Silver,Jens Weißflog,Ski jumping,Men 's large hill
Silver,Karin Kania-Enke,Speed skating,Women 's 500m
Silver,Andrea Ehrig-Schöne-Mitscherlich,Speed skating,Women 's 1000m
Silver,Andrea Ehrig-Schöne-Mitscherlich,Speed skating,Women 's 1500m
Silver,Karin Kania-Enke,Speed skating,Women 's 3000m
Bronze,Matthias Jacob,Biathlon,Men 's 10 km Sprint
Bronze,Jörg Hoffmann Jochen Pietzsch,Luge,Men 's doubles
