Name Heritage Class,Location Neighbourhood,Description,Year,Builder or Architect
Brock House ( Thorley Park ),3875 Point Grey Road,"This Tudor Revival house was originally a private residence and at one time a Royal Canadian Mounted Police detachment . This is now a seniors activity centre , Brock House Society , and a restaurant open to the public . Brock House Restaurant stages over 200 weddings per year . For more information see the Society 's 2012 publication THORLEY PARK TO BROCK HOUSE : From Family Home to Heritage Landmark , 1912 - 2012 . Jo Pleshakov , Editor",1911,"Samuel Maclure , architect"
Bay Theatre ( Starlight Theatre ),907-935 Denman Street,"This Art Moderne style theatre included a sign tower . The present owners , Amadon Group , requested a variance from the city by-laws in order to make the building viable and preserve the heritage building . The redesign was by Hewitt , Tan & Kwasnicky Architects '",1939,"Dominion Construction Ltd. , original builder Paul Kwasnicky , architect ?"
Pantages Theatre,144-156 East Hastings Street,Demolished 2011,1907-1908,"Edward Evans Blackmore , architect & designer B. Marcus Priteca"
Holy Rosary Cathedral,646 Richards Street,"The cathedral is the seat of the Roman Catholic Archdiocese of Vancouver . Among other notable events , it was the setting for the civic funeral of popular English Bay lifeguard Joe Fortes . The style is French Gothic , and very different from the castellated Anglican , United Church and Baptist churches on Burrard",1899-1900,"Julien & Williams , architects"
Provincial Courthouse,800 West Georgia Street,"This Neo-classical building was originally designed by Francis Rattenbury , who also designed the Empress Hotel & the Parliament Building in Victoria . In 1912 the West wing was added and designed by Thomas Hooper . In 1983 the building was renovated & restored by architect , Arthur Erickson and is the current home of the Vancouver Art Gallery",1906-1913,"Francis Rattenbury , architect"
Gabriola ( Angus Apartments ),1531 Davie Street,"Gabriola , was built for B.T . Rogers , founder of B.C . Sugar Refining Co . This Queen Anne grand mansion , is located in the Vancouver West End . The building became the Angus Apartments in 1925 . It became a restaurant , but it is currently vacant",1901,"Samuel Maclure , architect"
Hycroft,1489 McRae Avenue,The house of General Alexander Duncan McRae and family where frequent parties were hosted that were must attend for the city 's socialites . McRae donated it to the government of Canada for use as a veteran 's hospital . It is now used by the University Women 's Club . Today it is one of the most-used filming locations in Vancouver,1909,"Thomas Hooper , architect"
Heritage Hall Class : A ( M ),3102 Main Street Mount Pleasant,"Originally a post office , this building was occupied by the Royal Canadian Mounted Police in the 1970s before being restored in the 1980s as a community arts venue . The design is said to derive from a misdirected set of plans that were meant for another city in the Prairies , which got the smaller building meant to have been constructed here",1914,"Archibald Campbell Hope , architect"
Hastings Mill Store,1575 Alma Road,"The oldest building in Vancouver , moved by barge from its original location at the north foot of Dunlevy to Point Grey & Alma . The Native Daughters of British Columbia opened it as a museum",1865,Erected by Captain Edward Stamp & Associates
Orpheum Theatre,884 Granville Street,"Originally a vaudeville house on Theatre Row , the building was fully restored in the 1970s and is now an important live music venue and home to the Vancouver Symphony Orchestra",1927,"B. Marcus Priteca , architect"
Aberthau House ( Rear House ),4397 West 2nd Avenue,"This Tudor Revival was built for James S. Rear , General Manager , of American Life Insurance . Later bought by Col. Victor Spencer who called it Aberthau ( Welsh for : place filled with light ) . Presently , it is a cultural and recreational center run by the Vancouver Park Board",1909,"Samuel Maclure , architect"
St. Andrew 's Wesley Church,1012 Nelson Street,"This a Gothic Revival style church . The church was constructed after the union of the Methodist & Presbyterian churches , to form the United Church of Canada",1931-1933,"George Twizell & Robert Twizell , architects"
Tulk House Rosemary ( Order of the Convent of Our Lady of the Cenacle ),3689 Selkirk Street,"This Tudor Revival manor was built for whiskey baron & lawyer , Edward Tulk , who name the house after his daughter , Rosemary . It was also home to the Lieutenant Governor of B.C. , John William Fordham Johnson . From 1947 , the house was owned by the Order of the convent of Our Lady of the Cenacle until 1996 , where it was used as a retreat",1915,"Samuel Maclure & Cecil Fox , architects"
St. James Anglican Church,303 East Cordova Street,An art deco variant on Byzantine church design,1935-1937,"Adrian Gilbert Scott , architect"
Christ Church Cathedral,690 Burrard Street,Style is English Romanesque,1889-1895,"Charles Osborn Wickenden , architect"
Beatty Street Drill Hall,620 Beatty Street,"Home of The British Columbia Regiment ( Duke of Connaught 's Own ) , the most senior military unit in the city",1899-1901,"David Ewart , architect"
Seaforth Armoury,Burrard Street @ 1st Avenue,Home of The Seaforth Highlanders of Canada,1935-1936,"McCarter and Nairne , architects"
The Vancouver Club,915 West Hastings,,1912-1914,"Sharp & Thompson , architects"
Alexandra Park Haywood Bandstand,1755 Beach Avenue,"The Alexandra Park Bandstand is situated in a triangular-shaped park bordered by Beach Avenue , Burnaby Street and Bidwell Street in Vancouver 's West End , overlooking English Bay",1915,
First Baptist Church,969 Burrard Street,"The church suffered a serious fire in 1931 . But was restored by a parishioner , Charles Bentall , owner of Dominion Construction",1911,"Burke , Horwood , & White , architects"
