Property,Date,Municipality,Ownership,Comments
Child Monju 稚児文珠像 chigo Monju zō,C17,Nikaho,Kanman-ji ( 蚶満寺 ) ),holding a nyoi ( scepter ) ; by Kanō Tan'yū
Fugen Bosatsu 普賢菩薩像 Fugen Bosatsu zō,C17,Daisen,private,"by Kanō Tan'yū ; thought , alongside his Child Monju at Kanman-ji in Nikaho , to have been part of a group of three paintings - the whereabouts of the central image of Shaka Nyorai is currently unknown"
Portrait of Hakuun 白雲上人 画像 Hakuun shōnin gazō,,Misato,Hongaku-ji ( 本覚寺 ),
Sixteen Arhats 十六羅漢像 jūroku rakan zō,Edo period,Akita,Tentoku-ji ( 天徳寺 ),sixteen scrolls
"Customs of Akita , colour on paper , emaki 紙本着色秋田風俗絵巻 shihon chakushoku Akita fuzoku emaki",,Akita,Akita Prefecture ( kept at the Akita Prefectural Museum ),
"Senju Kannon , colour on silk 絹本着色千手観音像 kenpon chakushoku Senju Kannon zō",,Nikaho,private,
Mandala of the Two Realms 金剛胎蔵両界曼荼羅 Kongō-Taizō Ryōkai mandara,end of the Kamakura period,Oga,Chōraku-ji ( 長楽寺 ),"two scrolls , colour on silk"
"Chinese Peony in a Flower Basket , colour on silk , by Odano Naotake 絹本着色芍薬花籠図 直武 筆 kenpon chakushoku shakuyaku hana kago zu Naotake hitsu",1770s,Yokote,Akita Prefecture ( kept at the Akita Museum of Modern Art ),Akita ranga
"Kisakata , colour on paper , byōbu 紙本着色 象潟 図屏風 shihon chakushoku Kisakata zu byōbu",Edo period,Nikaho,Nikaho City ( kept at the Nikaho City Kisakata Historical Museum ( にかほ市象潟郷土資料館 ) ),the pair of six-panel folding-screens by Nagamasa Eishō ( 牧野永昌 ) ( 1747-1824 ) depict Kisakata ( 象潟 ) before the great 1804 earthquake that transformed the landscape ; Matsuo Bashō visited in 1689 and celebrated Kisakata in Oku no Hosomichi ; the area has been designated a Natural Monument
"True Views and Colouring , colour on paper , by Hakuun 紙本着色 白雲 筆真景帖および彩絵方 shihon chakushoku Hakuun hitsu shinkeijō oyobi saekata",end C18/early C19,Misato,private ( kept at Hongaku-ji ( 本覚寺 ) ),
"Amida Raigō , on silk 絹本阿弥陀来迎図 kenpon Amida raigō zu",,Ōdate,private,
"Akita Ranga , Peonies on a Rock 秋田蘭画「岩に牡丹図」 Akita ranga iwa no botan zu",Edo period,Daisen,private,by Tashiro Tadakuni ( 田代忠国 ) ( 1757-1830 )
"Hanshan and Shide , ink on paper 紙本墨画寒山拾得 shihon bokuga Kanzan Jittoku",,Akita,Daihi-ji ( 大悲寺 ),pair of scrolls
"Sixteen Benevolent Deities , colour on silk 絹本着色 十六善神 kenpon chakushoku jūroku zenjin",,Akita,Daihi-ji ( 大悲寺 ),
"Kōbō Daishi , colour on silk 絹本着色弘法大師像 kenpon chakushoku Kōbō Daishi zō",end of the Kamakura period /early Muromachi period,Oga,Chōraku-ji ( 長楽寺 ),holding a vajra and rosary
Sketchbook of Odano Naotake 小田野直武 筆写生帖 Odano Naotake hitsu shaseichō,c.1777,Yokote,Akita Prefecture ( kept at the Akita Museum of Modern Art ),ink and colour on paper
"Cranes , by Shen Nanpin 鶴之図 ( 沈南蘋筆 ) tsuru no zu ( Shen Nanpin hitsu )",1738,Yokote,Akita Prefecture ( kept at the Akita Museum of Modern Art ),pair of scrolls
Shaka Triad 釈迦三尊像図 Shaka sanson zō,,Akita,Tōfuku-ji ( 当福寺 ),
"Copy of Van Royen 's Flowers and Birds , colour on paper , by Ishikawa Tairō and Ishikawa Mōkō 紙本着色ファン・ロイエン筆 花鳥図模写 石川大浪 ・孟高合筆 shihon chakushoku Fan Roien hitsu kachō zu mosha Ishikawa Tairō・Mōkō hitsu",1796,Yokote,Akita Prefecture ( kept at the Akita Museum of Modern Art ),copy of W. Van Royen 's painting of 1725
"Nursing Tigress , by Hirafuku Suian 平福穂庵 筆 乳虎 Hirafuku Suian hitsu nyūko",1890,Yokote,Akita Prefecture ( kept at the Akita Museum of Modern Art ),ink and colour on silk
