Minutes,Player,Match,Date
7,Sam Kerr,Newcastle Jets v Perth Glory,16 December 2017
11,Sarah McLaughlin,Adelaide United v Western Sydney Wanderers,20 October 2012
11,Kate Gill,Western Sydney Wanderers v Perth Glory,5 October 2014
15,Elise Thorsnes,Canberra United v Adelaide United,7 January 2018
16,Michelle Heyman,Canberra United v Perth Glory,29 October 2011
16,Leena Khamis,Sydney FC v Perth Glory,3 December 2011
21,Arin Gilliland,Sydney FC v Newcastle Jets,21 January 2017
25,Arin Gilliland,Brisbane Roar v Newcastle Jets,10 December 2017
26,Renee Rollason,Sydney FC v Perth Glory,3 December 2011
27,Ashleigh Sykes,Canberra United v Perth Glory ( last 3 goals ),14 January 2017
