Year,Song,Artist ( s )
2010,Per tutte le volte che ... ( Pierdavide Carone ),Valerio Scanu
2011,"Chiamami ancora amore ( Roberto Vecchioni , Claudio Guidetti )",Roberto Vecchioni
2012,"Non è l'inferno ( Francesco Silvestre , Enrico Palmosi , Luca Sala )",Emma
2013,"L'essenziale ( Marco Mengoni , Roberto Casalino , Francesco De Benedittis )",Marco Mengoni
2014,Controvento ( Giuseppe Anastasi ),Arisa
2015,"Grande amore ( Francesco Boccia , Ciro Esposito )",Il Volo
2016,"Un giorno mi dirai ( Saverio Grandi , Gaetano Curreri , Luca Chiaravalli )",Stadio
2017,"Occidentali 's Karma ( Francesco Gabbani , Filippo Gabbani , Fabio Ilacqua , Luca Chiaravalli )",Francesco Gabbani
2018,"Non mi avete fatto niente ( Ermal Meta , Fabrizio Moro , Andrea Febo )",Ermal Meta & Fabrizio Moro
2019,"Soldi ( Mahmood , Dardust , Charlie Charles )",Mahmood
