Medal,Name,Sport,Event
Bronze,Dharmendar Yadav,Boxing,Light Flyweight
Bronze,Narender Singh,Judo,Extra Lightweight
Bronze,Rajinder Dhanger,Judo,Middleweight
Bronze,Soma Dutta,Shooting,Small Bore Rifle Three Positions
Bronze,Ashok Pandit Surinder Marwah,Shooting,Centre-Fire Pistol pairs
Bronze,Soma Dutta Bhagirath Samai,Shooting,Air Rifle pairs
Bronze,Velu Govindraj,Weightlifting,Flyweight-Clean and Jerk
Bronze,Gopal Maruthachelam,Weightlifting,Bantamweight-Overall
Bronze,Kumarasan Sudalaimani,Weightlifting,Featherweight-Snatch
Bronze,Kumarasan Sudalaimani,Weightlifting,Featherweight-Clean and Jerk
Bronze,Kumarasan Sudalaimani,Weightlifting,Featherweight-Overall
