Season,Player,Team,Position
1955,Harlon Hill,Chicago Bears,End
1956,Frank Gifford,New York Giants,Running back
1957,Johnny Unitas,Baltimore Colts,Quarterback
1958,Jim Brown,Cleveland Browns,Fullback
1959,Charlie Conerly,New York Giants,Quarterback
1960,Norm Van Brocklin,Philadelphia Eagles,Quarterback
1961,Y . A. Tittle,New York Giants,Quarterback
1962,Jim Taylor,Green Bay Packers,Running back
1963,Y . A. Tittle ( 2 ) Jim Brown ( 2 ),New York Giants Cleveland Browns,Quarterback Running back
1964,Lenny Moore,Baltimore Colts,Halfback
1965,Jim Brown ( 3 ),Cleveland Browns,Running back
1966,Bart Starr,Green Bay Packers,Quarterback
1967,Johnny Unitas ( 2 ),Baltimore Colts,Quarterback
1968,Earl Morrall,Baltimore Colts,Quarterback
1969,Roman Gabriel,Los Angeles Rams,Quarterback
1970,John Brodie,San Francisco 49ers,Quarterback
1971,Bob Griese,Miami Dolphins,Quarterback
1972,Larry Brown,Washington Redskins,Running back
1973,O. J. Simpson,Buffalo Bills,Running back
1974,Ken Stabler,Oakland Raiders,Quarterback
