Medal,Name,Sport,Event
Gold,Bae Ki-tae,Speed skating,Men 's 1000 m
Silver,Park Jae-hyuk,Alpine skiing,Men 's Slalom
Silver,Team Korea,Cross-country skiing,Men 's 4 x 10 km Relay
Silver,Yoo Bu-won,Short track speed skating,Women 's 1000 m
Silver,Yoo Bu-won,Short track speed skating,Women 's 3000 m
Silver,Na Yoon-soo,Speed skating,Men 's 500 m
Bronze,Park Jae-hyuk,Alpine skiing,Men 's Giant Slalom
Bronze,Team Korea,Biathlon,4 x 7.5 km Relay
Bronze,Jeon Yong-hae,Cross-country skiing,Men 's 15 km ( Classical )
Bronze,Jeon Yong-hae,Cross-country skiing,Men 's 30 km ( Free )
Bronze,Team Korea,Ice hockey,Men
Bronze,Kim Ki-hoon,Short track speed skating,Men 's 1500 m
Bronze,Na Woon-seop,Short track speed skating,Men 's 3000 m
Bronze,Lim Hyun-sook,Short track speed skating,Women 's 500 m
Bronze,Lee Hyun-jung,Short track speed skating,Women 's 1000 m
Bronze,Yoo Bu-won,Short track speed skating,Women 's 1500 m
Bronze,Bae Ki-tae,Speed skating,Men 's 500 m
Bronze,Hwang Ik-hwan,Speed skating,Men 's 1500 m
