Meeting,Date,Country,Location
1st,16-17 February 1992,Iran,Tehran
2nd,6-7 May 1993,Turkey,Istanbul
3rd,14-15 May 1995,Pakistan,Islamabad
4th,14 May 1996,Turkmenistan,Ashgabat
Extraordinary,14 May 1997,Turkmenistan,Ashgabat
5th,11 May 1998,Kazakhstan,Almaty
6th,10 June 2000,Iran,Tehran
7th,14 October 2002,Turkey,Istanbul
8th,14 September 2004,Tajikistan,Dushanbe
9th,5 May 2006,Azerbaijan,Baku
10th,11 March 2009,Iran,Tehran
11th,23 December 2010,Turkey,Istanbul
12th,16 October 2012,Azerbaijan,Baku
13th,1 March 2017,Pakistan,Islamabad
