Company name,Company name ( in Arabic ),Headquarters,Stock code ( if applicable )
Abu Dhabi Commercial Bank,بنك أبوظبي التجاري,Abu Dhabi,ADX : ADCB
Abu Dhabi Islamic Bank,مصرف أبوظبي الإسلامي,Abu Dhabi,ADX : ADIB
Arab Bank plc,البنك العربي,Abu Dhabi,ASE : ARBK
Emirates Investment Bank,بنك الإمارات للاستثمار,Dubai,DFM : EIBANK
Bank of Sharjah,بنك الشارقة,,ADX : BOS
"Citibank N.A. , United Arab Emirates",سيتي بنك,"Dubai ( onshore ) , Dubai International Financial Centre , Abu Dhabi Global Market",NYSE : C
Commercial Bank International,البنك التجاري الدولي,Ras Al Khaimah,ADX : CBI
Commercial Bank of Dubai,بنك دبي التـجاري,Dubai,DFM : CBD
Dubai Islamic Bank,بنــك دبي الإســلامي,Dubai,DFM : DIB
Dubai Finance Bank,بنك دبي المالي,Dubai,
Emirates Islamic,الإمارات الإسلامي,Dubai,DFM : EIB
First Abu Dhabi Bank,بنك الخليج الأول,Abu Dhabi,ADX : FAB
Habib Bank AG Zurich,,Dubai,
HSBC Bank Middle East Limited,بنك HSBC الشرق الأوسط,Dubai,LSE : HSBA NYSE : HSBC
Invest Bank,بنك الاستثمار,Sharjah,ADX : INVESTB
Mashreq,بنك المشرق,Dubai,DFM : MASQ
