Title,Release date,Original game publisher
Tokimeki Memorial,"May 27 , 1994",Konami
Like a Dragon : Prologue,"March 24 , 2006",Sega
BloodRayne 2 : Deliverance,"September 18 , 2007",Majesco
Alone in the Dark II,"September 25 , 2008",Infogrames
OneChanbara : The Movie - Vortex,"November 2 , 2009",D3
The King of Fighters,"November 4 , 2009",SNK
BloodRayne : The Third Reich,"November 5 , 2010",Majesco
In the Name of the King 2 : Two Worlds,"December 27 , 2011",Microsoft Studios
Halo 4 : Forward Unto Dawn,"November 6 , 2012",Microsoft Studios
Company of Heroes,"February 26 , 2013",THQ
Zombie Massacre,"July 1 , 2013",1988 Games
In the Name of the King 3 : The Last Mission,"March 11 , 2014",Microsoft Studios
Street Fighter : Assassin 's Fist,"May 23 , 2014",Capcom
Tekken 2 : Kazuya 's Revenge,"August 6 , 2014",Bandai Namco Games
Halo : Nightfall,"March 17 , 2015",Microsoft Studios
Dead Rising : Watchtower,"March 27 , 2015",Capcom
Dead Rising : Endgame,"June 20 , 2016",Capcom
It Came from the Desert,"May 23 , 2018",Cinemaware
Doom : Annihilation,"October 1 , 2019",id Software
