School,Nickname,City,State,Conference
Assumption,Greyhounds,Worcester,Massachusetts,Northeast-10
Gannon,Golden Knights,Erie,Pennsylvania,PSAC
Mary,Marauders,Bismarck,North Dakota,NSIC
Mercyhurst,Lakers,Erie,Pennsylvania,PSAC
Notre Dame ( OH ),Falcons,South Euclid,Ohio,Mountain East
Ohio Dominican,Panthers,Columbus,Ohio,G-MAC
Quincy,Hawks,Quincy,Illinois,GLVC
Saint Anselm,Hawks,Goffstown,New Hampshire,Northeast-10
Seton Hill,Griffins,Greensburg,Pennsylvania,PSAC
Stonehill,Skyhawks,Easton,Massachusetts,Northeast-10
Walsh,Cavaliers,Canton,Ohio,G-MAC
