Club,Manager,City,Stadium,Capacity,Affiliate
Atlético Irapuato,Omar Arellano,"Irapuato , Guanajuato",Sergio León Chávez,"25,000",-
Atlético San Luis,Julio Servín,"Soledad de Graciano Sánchez , San Luis Potosí",Unidad Deportiva 21 de Marzo,"8,000",Atlético San Luis
CAFESSA Jalisco,Jaime Durán,"Guadalajara , Jalisco",Jalisco,"55,110",-
Cafetaleros de Chiapas,Marco Valverde,"Tapachula , Chiapas",Olímpico de Tapachula,"21,018",Cafetaleros de Chiapas
Cruz Azul Hidalgo,Carlos Roberto Pérez,"Ciudad Cooperativa Cruz Azul , Hidalgo",10 de Diciembre,"14,500",Cruz Azul
Inter Playa del Carmen,Marco Antonio Palacios,"Playa del Carmen , Quintana Roo",Unidad Deportiva Mario Villanueva Madrid,"7,500",-
Marina,José Gerardo Espinoza,"Milpa Alta , Mexico City",Momoxco,"3,500",-
Pioneros de Cancún,Carlos Bracamontes,"Cancún , Quintana Roo",Andrés Quintana Roo,"17,289",-
Reboceros de La Piedad,Marco Antonio Rincón,"La Piedad , Michoacán",Juan N. López,"13,356",-
Sporting Canamy,Gerardo Durón,"Oaxtepec , Morelos",Olímpico de Oaxtepec,"9,000",-
Tlaxcala,Lorenzo Sáez,"Nanacamilpa , Tlaxcala",Unidad Deportiva José Brindis,"3,000",-
UNAM,Carlos Humberto González,"Coyoacán , Mexico City",La Cantera,"2,000",UNAM
Yalmakán,Víctor Manuel Morales,"Chetumal , Quintana Roo",José López Portillo,"6,600",-
