Year,Player,Team ( s ),Saves
1901,Bill Hoffer,Cleveland Blues,3
1902,Jack Powell,St. Louis Browns,2
1903,Bill Dinneen George Mullin Al Orth Jack Powell Cy Young,Boston Americans Detroit Tigers Washington Senators St. Louis Browns Boston Americans,2
1904,Case Patten,Washington Senators,3
1905,Jim Buchanan,St. Louis Browns,2
1906,Chief Bender Otto Hess,Philadelphia Athletics Cleveland Naps,3
1907,Bill Dinneen Tom Hughes Ed Walsh,Boston / St. Louis Washington Senators Chicago White Sox,4
1908,Ed Walsh,Chicago White Sox,6
1909,Frank Arellanes,Boston Red Sox,8
1910,Ed Walsh,Chicago White Sox,5
1911,Charley Hall Eddie Plank Ed Walsh,Boston Red Sox Philadelphia Athletics Chicago White Sox,4
1912,Ed Walsh,Chicago White Sox,10
1913,Chief Bender,Philadelphia Athletics,13
1914,Jack Bentley Hooks Dauss Red Faber Roy Mitchell Jim Shaw,Washington Senators Detroit Tigers Chicago White Sox St. Louis Browns Washington Senators,4
1915,Carl Mays,Boston Red Sox,7
1916,Bob Shawkey,New York Yankees,8
1917,Dave Danforth,Chicago White Sox,9
1918,George Mogridge,New York Yankees,7
1919,Allen Russell Jim Shaw Bob Shawkey,New York / Boston Washington Senators New York Yankees,5
1920,Dickey Kerr Urban Shocker,Chicago White Sox St. Louis Browns,5
