,Country,Airport name,IATA / ICAO Code,City served,Passengers
1,Panama,Tocumen International Airport,PTY/MPTO,Panamá City,"7,005,031"
2,Costa Rica,Juan Santamaría International Airport,SJO/MROC,San José,"3,858,401"
3,El Salvador,Comalapa International Airport,SAL/MSLP,San Salvador,"1,976,326"
4,Guatemala,La Aurora International Airport,GUA/MGGT,Guatemala City,"1,970,618"
5,Nicaragua,Augusto C. Sandino International Airport,MGA/MNMG,Managua,"1,102,200"
6,Honduras,Ramón Villeda Morales International Airport,SAP/MHLM,San Pedro Sula,"742,000"
7,Honduras,Toncontín International Airport,TGU/MHTG,Tegucigalpa,"493,000"
8,Costa Rica,Daniel Oduber International Airport,LIR/MRLB,Liberia,"443,585"
9,Panama,Albrook International Airport,PAC/MPMG,Panamá City,"269,443"
10,Honduras,Juan Manuel Gálvez International Airport,RTB/MHRO,Roatán,"214,000"
11,Honduras,Golosón International Airport,LCE/MHLC,La Ceiba,"181,000"
12,Belize,Philip S. W. Goldson International Airport,BZE/MZBZ,Belize City,"172,402"
13,Panama,Enrique Malek International Airport,DAV/MPDA,David,"117,260"
14,Costa Rica,Tobías Bolaños International Airport,SYQ/MRPV,San José,"101,573"
15,Guatemala,Mundo Maya International Airport,FRS/MGTK,Flores / Tikal,"100,525"
16,Panama,Bocas del Toro International Airport,BOC/MPBO,Bocas / Isla Colón,"59,091"
17,Nicaragua,Bluefields Airport,BEF/MNBL,Bluefields,"21,894"
