,Name on the Register,Date listed,Location,City or town
1,Ashley Hall Plantation,"June 5 , 1975 ( # 75001691 )",Address restricted,West Ashley
2,Ashley River Historic District,"September 12 , 1994 ( # 93001514 )","Roughly along the Ashley River from just east of South Carolina Highway 165 , near Watson Hill ( North Charleston ) , to the Seaboard Coast Line Railroad bridge 32°53′58″N 80°07′00″W / 32.8994°N 80.1167°W / 32.8994 ; -80.1167 ( Ashley River Historic District )",North Charleston
3,Ashley River Road,"November 21 , 1983 ( # 83003831 )",South Carolina Highway 61 between Church Creek and South Carolina Highway 165 32°53′43″N 80°08′08″W / 32.8953°N 80.1356°W / 32.8953 ; -80.1356 ( Ashley River Road ),Summerville
4,Atlanticville Historic District,"September 6 , 2007 ( # 07000927 )","Middle St. , Jasper Boulevard , and Myrtle Ave. between Stations 22½ and 26 32°45′55″N 79°49′57″W / 32.7653°N 79.8325°W / 32.7653 ; -79.8325 ( Atlanticville Historic District )",Sullivan 's Island
5,Auld Mound,"October 15 , 1970 ( # 70000583 )",Address Restricted,Mount Pleasant
6,Alexander Bache U.S. Coast Survey Line,"October 5 , 2007 ( # 07001082 )",8377 State Cabin Rd . 32°30′20″N 80°18′37″W / 32.5056°N 80.3103°W / 32.5056 ; -80.3103 ( Alexander Bache U.S. Coast Survey Line ),Edisto Island
7,Bailey 's Store,"November 28 , 1986 ( # 86003204 )",1444 South Carolina Highway 174 32°33′36″N 80°16′47″W / 32.56009°N 80.27961°W / 32.56009 ; -80.27961 ( Bailey 's Store ),Edisto Island
8,Barnwell House,"November 25 , 1980 ( # 80003657 )",South of Charleston 32°41′54″N 80°24′22″W / 32.6983°N 80.4061°W / 32.6983 ; -80.4061 ( Barnwell House ),Adams Run
9,Bass Pond Site,"April 24 , 1979 ( # 79002379 )",Address Restricted,Kiawah Island
10,Battery Gadsden,"June 25 , 1974 ( # 74001842 )",2017 Ion Ave. 32°45′36″N 79°50′23″W / 32.76°N 79.8397°W / 32.76 ; -79.8397 ( Battery Gadsden ),Sullivan 's Island
11,Battery Thomson,"June 25 , 1974 ( # 74001843 )",2013 Ion Ave. 32°45′33″N 79°50′28″W / 32.7592°N 79.8411°W / 32.7592 ; -79.8411 ( Battery Thomson ),Sullivan 's Island
12,Bethel African Methodist Episcopal Church,"June 22 , 2004 ( # 04000651 )",369 Drayton St. 33°05′21″N 79°27′26″W / 33.0893°N 79.4571°W / 33.0893 ; -79.4571 ( Bethel African Methodist Episcopal Church ),McClellanville
13,Bleak Hall Plantation Outbuildings,"March 7 , 1973 ( # 73001698 )",4 miles southeast of Edisto Island off South Carolina Highway 174 32°33′10″N 80°14′05″W / 32.5528°N 80.2347°W / 32.5528 ; -80.2347 ( Bleak Hall Plantation Outbuildings ),Edisto Island
14,Brick House Ruin,"April 15 , 1970 ( # 70000580 )",South of Edisto Island 32°36′05″N 80°19′32″W / 32.6014°N 80.3256°W / 32.6014 ; -80.3256 ( Brick House Ruin ),Edisto Island
15,Brooklands Plantation,"May 5 , 1987 ( # 86003198 )",Off Laurel Hill Rd . on Scanawah Island 32°34′19″N 80°21′19″W / 32.5719°N 80.3553°W / 32.5719 ; -80.3553 ( Brooklands Plantation ),Edisto Island
16,Buzzard 's Island Site,"October 15 , 1970 ( # 70000584 )",Address Restricted,Mount Pleasant
17,Cape Romain Lighthouses,"November 12 , 1981 ( # 81000563 )",Southeast of McClellanville on Lighthouse Island 33°01′06″N 79°22′27″W / 33.0183°N 79.3742°W / 33.0183 ; -79.3742 ( Cape Romain Lighthouses ),McClellanville
18,Cassina Point,"November 28 , 1986 ( # 86003210 )","1642 Clark Road , Edisto , South Carolina 32°35′29″N 80°15′03″W / 32.5914°N 80.2508°W / 32.5914 ; -80.2508 ( Cassina Point )",Edisto Island
19,Charleston Naval Hospital Historic District,"October 22 , 2010 ( # 10000851 )","Former Charleston Navy Base including portions of Turnbull Avenue , Hobby Street , Avenue F , Avenue G , Avenue H , Avenue I , Truxton Avenue , and Marine Avenue 32°51′51″N 79°58′02″W / 32.86416666666667°N 79.96722222222222°W / 32.86416666666667 ; -79.96722222222222 ( Charleston Naval Hospital Historic District )",North Charleston
20,Charleston Navy Yard Historic District,"August 9 , 2006 ( # 06000699 )","Roughly bounded by 1st St. , Hobson Ave. , Ave. D , 4th and 5th Sts. , and the drydocks between 1st and 13th Sts . 32°51′43″N 79°57′46″W / 32.8619°N 79.9628°W / 32.8619 ; -79.9628 ( Charleston Navy Yard Historic District )",North Charleston
