#,Date,Venue,Opponent,Result ( France- ... ),Competition
1,9 November 2002,"Stade Vélodrome , Marseille , France",South Africa,30-10,Test Match
2,23 November 2002,"Stade de France , Saint-Denis , France",Canada,35-3,Test Match
3,23 November 2002,"Stade de France , Saint-Denis , France",Canada,35-3,Test Match
4,29 March 2003,"Stade de France , Saint-Denis , France",Wales,33-5,Six Nations Championship
5,14 February 2004,"Stade de France , Saint-Denis , France",Ireland,35-17,Six Nations Championship
6,19 November 2005,"Stadium Municipal , Toulouse , France",Tonga,35-17,Test Match
7,19 November 2005,"Stadium Municipal , Toulouse , France",Tonga,35-17,Test Match
8,24 June 2006,"Newlands Stadium , Cape Town , South Africa",South Africa,36-26,Test Match
9,11 February 2007,"Croke Park , Dublin , Ireland",Ireland,20-17,Six Nations Championship
10,16 September 2007,"Stadium Municipal , Toulouse , France",Namibia,87-10,2007 Rugby World Cup
11,16 September 2007,"Stadium Municipal , Toulouse , France",Namibia,87-10,2007 Rugby World Cup
12,16 September 2007,"Stadium Municipal , Toulouse , France",Namibia,87-10,2007 Rugby World Cup
13,21 September 2007,"Stade de France , Saint-Denis , France",Ireland,25-3,2007 Rugby World Cup
14,21 September 2007,"Stade de France , Saint-Denis , France",Ireland,25-3,2007 Rugby World Cup
15,3 February 2008,"Murrayfield , Edinburgh , Scotland",Scotland,27-6,Six Nations Championship
16,3 February 2008,"Murrayfield , Edinburgh , Scotland",Scotland,27-6,Six Nations Championship
17,9 February 2008,"Stade de France , Saint-Denis , France",Ireland,26-21,Six Nations Championship
18,9 February 2008,"Stade de France , Saint-Denis , France",Ireland,26-21,Six Nations Championship
19,9 February 2008,"Stade de France , Saint-Denis , France",Ireland,26-21,Six Nations Championship
20,13 November 2009,"Stadium Municipal , Toulouse , France",South Africa,20-13,Test Match
