Name,Location,Unit Designation,Notes/Mission
Al Dhafra Air Base,United Arab Emirates,380th Air Expeditionary Wing 363d Flying Training Group ( ACC ),"Primary AFCENT Deployment Base . Performs intelligence , surveillance and reconnaissance and aerial refueling in support of Operations New Dawn and Enduring Freedom and the Combined Joint Task Force-Horn of Africa . The attached 9th Air Force 363d Flying Training Group facilitates the flying training of airmen from various nations"
Al Udeid Air Base,Qatar,379th Air Expeditionary Wing 64th Air Expeditionary Group,"Primary AFCENT Deployment Base . Provides combat airpower and combat support for Operations Iraqi Freedom , Enduring Freedom and through support of the Joint Task Force Horn of Africa . 64th AEG providings integrated defense , emergency response , and combat support for the base . Al Udeid is the forward Headquarters of the United States Central Command , as well as the 83d Expeditionary Air Group of the Royal Air Force . The base is frequently used as a staging base for air units that are transferring into Iraq ,"
Ali Al Salem Air Base,Kuwait,386th Air Expeditionary Wing 387th Air Expeditionary Operations Group,Primary AFCENT Deployment Base . Primary tactical airlift hub for re-supply missions supporting Coalition operations in Iraq and providing combat service support to land component forces throughout the Persian Gulf Region and Iraq . 387th AEOG provides base operating support-integration for Coalition forces and civilian contractors
Bagram Airfield,Afghanistan,455th Air Expeditionary Wing 755th Air Expeditionary Group,"Provides the International Security Assistance Force with responsive airpower as part of Operation Enduring Freedom . First constructed during the Soviet invasion of Afghanistan , but it has since been greatly improved . The United States has spent more than $ 200 million improving Bagram , and the base now includes shops , restaurants , recreational complexes , and housing for thousands of personnel"
Kabul International Airport,Afghanistan,438th Air Expeditionary Wing 438th Air Expeditionary Advisory Group,Provides the International Security Assistance Force with responsive airpower as part of Operation Enduring Freedom
Kandahar Airfield,Afghanistan,451st Air Expeditionary Group 651st Air Expeditionary Group 738th Air Expeditionary Advisory Group,Provides the International Security Assistance Force with responsive airpower as part of Operation Enduring Freedom . 738th AEAG is a detached component of the 438th AEW at Kabul IAP
Sheik Isa Air Base,Bahrain,Detachment of the 379th Air Expeditionary Wing,Logistical hub
Shindand Air Base,Afghanistan,838th Air Expeditionary Advisory Group,Being developed into a major flying training base for the Afghanistan Air Force . 838th AEAG is a detached component of the 438th AEW at Kabul IAP
RAFO Thumrait,Oman,405th Air Expeditionary Wing,Primary AFCENT Deployment Base . Air Refueling operations
Transit Center at Manas ( Closed 2014 ),Kyrgyzstan,376th Air Expeditionary Wing,"As its name suggests , the base is the main transit point for troops leaving and entering Afghanistan and is known to many soldiers as The Gateway to Hell . The site is equipped with comforts , including video games , internet cafes , and wireless internet"
